loss,hidden_dim,layer_dim,dropout,residxSD, residxQE, residxSV, residxPR, residxHD, residexTL, resvalSD,resvalQE,resvalSV,resvalPR,resvalHD,resvalTL
MSELoss(),4,2,0.1,29,1,4,25,29,29,0.022,-0.014,0.03,0.152,0.036,0.058
MSELoss(),4,2,0.1,0,1,7,20,1,29,0.034,0.0,0.027,0.143,-0.031,0.058
MSELoss(),4,2,0.1,1,0,10,5,28,29,0.009,-0.005,0.048,0.163,-0.051,0.058
MSELoss(),4,2,0.1,0,0,9,24,29,29,0.008,0.016,0.029,0.152,0.06,0.058
MSELoss(),4,2,0.1,29,29,5,21,29,29,0.1,0.038,0.034,0.196,0.103,0.056
BCELoss(),4,2,0.1,0,0,4,9,29,22,-0.025,0.015,0.056,0.146,-0.045,0.187
BCELoss(),4,2,0.1,0,0,6,14,26,27,-0.03,0.037,0.036,0.161,-0.043,0.187
BCELoss(),4,2,0.1,29,2,7,8,29,15,0.043,-0.013,0.053,0.137,0.106,0.187
BCELoss(),4,2,0.1,0,1,6,9,0,16,-0.031,0.006,0.052,0.165,-0.03,0.187
BCELoss(),4,2,0.1,0,1,6,7,0,22,-0.032,0.028,0.057,0.15,0.018,0.187
MSELoss(),4,2,0.2,1,0,9,29,29,29,0.035,0.005,0.029,0.127,0.03,0.058
MSELoss(),4,2,0.2,0,1,4,18,0,29,-0.04,0.029,0.039,0.138,0.058,0.058
MSELoss(),4,2,0.2,1,0,3,5,0,29,0.036,0.005,0.024,0.155,0.047,0.058
MSELoss(),4,2,0.2,0,0,28,27,1,29,0.018,0.001,0.034,0.147,0.055,0.058
MSELoss(),4,2,0.2,0,0,3,25,29,28,-0.014,-0.023,0.032,0.138,-0.036,0.058
BCELoss(),4,2,0.2,0,2,5,22,26,29,0.021,0.001,0.054,0.125,0.081,0.186
BCELoss(),4,2,0.2,1,2,0,18,27,28,0.038,0.005,0.031,0.161,0.063,0.186
BCELoss(),4,2,0.2,29,1,5,11,29,29,0.019,0.009,0.027,0.149,0.058,0.186
BCELoss(),4,2,0.2,0,0,4,6,29,17,-0.022,0.002,0.046,0.141,-0.027,0.187
BCELoss(),4,2,0.2,0,2,5,20,29,14,0.021,-0.009,0.035,0.168,0.065,0.187
MSELoss(),4,4,0.1,2,0,20,15,24,29,0.025,-0.0,0.05,0.176,0.045,0.058
MSELoss(),4,4,0.1,0,0,15,7,28,29,-0.037,0.001,0.051,0.171,0.062,0.058
MSELoss(),4,4,0.1,28,0,9,18,0,29,0.022,0.005,0.057,0.166,0.081,0.058
MSELoss(),4,4,0.1,17,0,17,18,29,29,0.029,0.008,0.048,0.17,0.046,0.058
MSELoss(),4,4,0.1,0,1,23,21,0,29,-0.049,-0.004,0.051,0.178,-0.047,0.058
BCELoss(),4,4,0.1,21,0,18,14,0,29,0.028,0.008,0.052,0.179,0.071,0.186
BCELoss(),4,4,0.1,21,2,8,22,29,29,0.029,0.049,0.059,0.179,-0.034,0.186
BCELoss(),4,4,0.1,0,1,14,13,29,29,0.062,-0.011,0.045,0.171,0.057,0.186
BCELoss(),4,4,0.1,0,0,11,16,0,29,0.014,0.017,0.045,0.168,0.073,0.187
BCELoss(),4,4,0.1,2,0,22,24,0,16,0.025,0.013,0.052,0.176,0.047,0.187
MSELoss(),4,4,0.2,22,1,11,9,0,29,0.025,0.004,0.043,0.172,0.067,0.057
MSELoss(),4,4,0.2,29,0,6,6,29,29,0.022,-0.004,0.054,0.166,0.067,0.057
MSELoss(),4,4,0.2,0,0,28,20,11,29,-0.055,0.001,0.051,0.177,-0.08,0.058
