"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","default","Experimenter","P1","P2",
00:00:02.287,00:00:05.147,,,,"am I gonna (inaudible) now or like do I have to take ",
00:00:05.348,00:00:06.689,,"(inaudible)",,,
00:00:09.790,00:00:11.463,,"you can go ahead ",,,
00:00:12.261,00:00:14.312,,"uh I'll be back in like five minutes ",,,
00:00:14.802,00:00:15.435,,,"okay",,
00:00:15.861,00:00:16.989,,,,"oh okay yeah ",
00:00:17.440,00:00:18.080,,,"oh oh",,
00:00:18.305,00:00:20.003,,"(inaudible)",,,
00:00:38.772,00:00:39.050,,,,"alright ",
00:00:40.390,00:00:41.555,,,"wait I'm so confused",,
00:00:42.350,00:00:42.640,,,,"yeah",
00:00:52.992,00:00:56.694,,"(inaudible) stopwatch to make sure that it all (inaudible) up correctly",,,
00:00:59.595,00:00:59.800,,"alright ",,,
00:01:13.460,00:01:15.590,,,,"so uh.. how are you",
00:01:16.060,00:01:18.195,,,"good (laughter) how are you",,
00:01:18.720,00:01:20.070,,,,"good (pause filler) yeah",
00:01:20.680,00:01:21.661,,,"boring.. ",,
00:01:23.471,00:01:28.017,,,"I had to take a math test this morning  so I could get extra credit and that",,
00:01:28.017,00:01:30.118,,,"and now we're doing more math",,
00:01:30.746,00:01:32.622,,,"but this math is really easy",,
00:01:32.622,00:01:32.650,,,"so it's not a big deal",,
00:01:32.650,00:01:33.137,,,"so it's not a big deal","yeah ",
00:01:33.137,00:01:34.109,,,"so it's not a big deal",,
00:01:39.971,00:01:43.337,,,"don't want that little one don't like it go away ",,
00:01:48.775,00:01:51.051,,,"this makes my life super easy ",,
00:03:34.315,00:03:34.725,,,"hold on",,
00:03:50.645,00:03:52.105,,,"I'm rewriting the problem",,
00:03:52.167,00:03:52.474,,,"hold on",,
00:03:53.183,00:03:54.510,,,,"wait do you have your stylus",
00:03:55.168,00:03:56.146,,,"no it doesn't work",,
00:03:56.820,00:03:57.943,,,,"oh they took mine",
00:04:01.130,00:04:02.230,,,"just use the mouse",,
00:04:03.182,00:04:04.853,,,,"I don't have a mouse either",
00:04:06.080,00:04:08.079,,,"they're so mean jeez ",,
00:04:08.627,00:04:10.064,,,,"yeah they don't really trust us",
00:04:11.565,00:04:12.212,,,"well ",,
00:04:12.687,00:04:13.745,,,"look what I've done",,
00:04:14.800,00:04:16.972,,,"I erased the problem on accident",,
00:04:17.837,00:04:20.431,,,,"they even exxed out the like problem things",
00:04:20.431,00:04:20.951,,,,"so ",
00:04:20.951,00:04:23.017,,,,"I can't really like see anything ",
00:04:25.107,00:04:26.305,,,"what are we going to do",,
00:04:26.305,00:04:28.035,,,"like we're not that bad right",,
00:04:28.477,00:04:28.597,,,,"(laughter)",
00:04:34.259,00:04:35.836,,,"(sfx) I'm really tired",,
00:04:38.480,00:04:40.994,,,"I honestly just like want to go home and sleep",,
00:04:41.303,00:04:41.602,,,,"yeah",
00:04:43.828,00:04:46.880,,,"instead I get stuck here doing math",,
00:04:48.861,00:04:50.089,,,"but at least we get paid",,
00:04:50.092,00:04:51.480,,,"but I don't think we're getting paid",,
00:04:54.987,00:04:56.902,,,,"did you get fifteen dollars last time",
00:04:57.477,00:04:57.942,,,"yeah",,
00:04:58.820,00:04:58.963,,,,"okay",
00:04:59.650,00:05:01.577,,,"I spent most of it already",,
00:05:02.380,00:05:02.690,,,"oops",,
00:05:06.492,00:05:08.422,,,"see here's my broken stylus",,
00:05:08.795,00:05:09.925,,,"it's very entertaining",,
00:05:19.137,00:05:19.167,,,,"oh",
00:05:29.500,00:05:32.420,,,"(sfx) I don't feel",,
00:05:34.769,00:05:39.162,,,"at least it's so we can go until six to the time they told our parents we'll be done",,
00:05:39.735,00:05:39.889,,,,"yeah ",
00:05:41.059,00:05:42.141,,,,"so today we're getting like ",
00:05:42.492,00:05:44.376,,,,"twenty-five dollars oh okay",
00:05:46.356,00:05:47.220,,,"supposedly",,
00:05:47.892,00:05:51.338,,,,"I really hope they don't give us Skittles again, I don't like those, I don't ",
00:05:51.378,00:05:52.211,,,"I don't either ",,
00:05:53.035,00:05:55.352,,,"I hope they give us M&Ms or something ",,
00:05:55.804,00:05:56.330,,,,"That'd be good ",
00:05:57.351,00:06:00.753,,,"I had (inaudible) before this so I'm not that hungry but still ",,
00:06:02.997,00:06:04.506,,,"I don't know I'm just going to refresh the page",,
00:06:05.700,00:06:08.286,,,"there I fixed it I think",,
00:06:17.793,00:06:19.717,,,"okay so I break one all right",,
00:06:23.072,00:06:23.981,,,,"They're coming back",
00:06:25.817,00:06:26.705,,,"oh fun",,
00:06:28.392,00:06:30.032,,,"how fun and exciting for me",,
00:07:13.168,00:07:14.345,,,"okay",,
00:07:15.453,00:07:16.850,,"I'll take that",,,
00:07:26.218,00:07:33.452,,,,"am I teaching her",
00:07:35.697,00:07:39.783,,,,"or she's teaching me",
00:07:39.783,00:07:41.189,,,"what","or she's teaching me",
00:07:41.189,00:07:41.603,,,,"or she's teaching me",
00:07:42.491,00:07:44.986,,"yeah she's teaching you",,,
00:07:45.391,00:07:46.283,,,"okay",,
00:07:55.681,00:08:03.324,,,,"okay so I think you're teaching me or something",
00:08:03.803,00:08:04.102,,,"yup",,
00:08:05.080,00:08:07.784,,,"so you know how to do this problem",,
00:08:07.784,00:08:09.081,,,"what do you see on your screen",,
00:08:09.191,00:08:13.491,,,,"pause filler fourteen equals three eights k yeah",
00:08:13.990,00:08:17.113,,,"okay so what would you do first",,
00:08:17.312,00:08:19.368,,,,"(inaudible) oh it's not writing",
00:08:19.507,00:08:24.606,,,,"I'll multiply it by hey whatever",
00:08:28.094,00:08:28.547,,,"sorry sorry",,
00:08:28.547,00:08:29.513,,,"sorry sorry","wait everything's turned out",
00:08:29.513,00:08:30.113,,,,"wait everything's turned out",
00:08:30.783,00:08:42.944,,,"I was trying to erase that a because you wrote it all and eighteen and eighteen",,
00:08:43.283,00:08:51.824,,,,"equals three k and one hundred and twelve divided by three",
00:08:54.218,00:08:55.895,,,"thirty-seven or something like that",,
00:08:56.344,00:08:58.898,,,,"equals yeah this",
00:09:01.871,00:09:02.569,,,"good job",,
00:09:04.086,00:09:05.433,,,,"okay next one",
00:09:06.590,00:09:10.122,,,"negative two thirds y that is eighteen it's fifty-two",,
00:09:10.122,00:09:12.627,,,"so what would you do first to this eighteen",,
00:09:13.245,00:09:14.921,,,,"well you would add that",
00:09:15.191,00:09:15.789,,,,"oh my",
00:09:16.208,00:09:18.673,,,,"this is intense",
00:09:21.297,00:09:22.763,,,"(inaudible) I'm so tired",,
00:09:27.612,00:09:29.319,,,"I don't like that they took my phone",,
00:09:30.356,00:09:30.576,,,,"yeah",
00:09:33.094,00:09:35.337,,,"oh right I have to put my face on the screen the whole time",,
00:09:38.000,00:09:38.360,,,,"hmm",
00:09:40.473,00:09:43.177,,,"what are they even using this information for",,
00:09:45.662,00:09:48.685,,,"what are they even using this information for I don't even understand (inaudible)",,
00:09:48.685,00:09:49.040,,,"what are they even using this information for I don't even understand (inaudible)","I think to like help children like learn algebra better or something",
00:09:49.040,00:09:56.140,,,,"I think to like help children like learn algebra better or something",
00:09:56.140,00:10:00.140,,,"oh pause filler","I think to like help children like learn algebra better or something",
00:10:00.140,00:10:02.264,,,,"I think to like help children like learn algebra better or something",
00:10:02.264,00:10:02.503,,,,"yeah pause filler",
00:10:02.822,00:10:04.449,,,,"okay that's nice",
00:10:04.708,00:10:10.455,,,,"thanks to him half",
00:10:11.223,00:10:21.859,,,,"just subtract the thirteen that would be thirty-one",
00:10:23.476,00:10:26.598,,,,"and then you would multiply this by two",
00:10:28.953,00:10:33.163,,,,"that's x equals sixty-two",
00:10:33.762,00:10:35.807,,,,"oh my gosh okay",
00:10:35.807,00:10:36.376,,,"wow",,
00:10:36.376,00:10:36.753,,,"wow","okay next one",
00:10:36.753,00:10:37.324,,,,"okay next one",
00:10:38.082,00:10:39.579,,,,"add the sixteen",
00:10:41.644,00:10:44.693,,,"have you used the calligraphy pen it's a little bit easier",,
00:10:44.700,00:10:46.273,,,,"wait where is that",
00:10:46.273,00:10:46.313,,,"it's a socket pen option","wait where is that",
00:10:46.313,00:10:48.006,,,"it's a socket pen option",,
