Dyad,Session,Period,Problem,Correctness,Rapport Level,Time_begin,Time_end,P1,P2,DQ_Tutor,DQ_Tutee,SQ_Tutor,SQ_Tutee,KB_Tutor,KB_Tutee,KT_Tutor,KT_Tutee,MC_Tutor,MC_Tutee,PR_Tutor,PR_Tutee,SD_Tutor,SD_Tutee,SV_Tutor,SV_Tutee,HD_Tutor,HD_Tutee
10,1,S1  ,,,4,00:01:15.300000,00:07:08.400000,,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:16.900000,00:01:17.900000,,I know right,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:17.900000,00:01:20.600000,,they like telling me how computers never worked,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:20.600000,00:01:22.800000,,I'm like I'm in cyber school I know that,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:22.800000,00:01:24.200000,,I know that by now,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:25,00:01:26.300000,,it's kind of obvious,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:26.400000,00:01:29,how long have you been in PA Cyber,,,,,,,,,,,,,,QE,,,,,
10,1,S1  ,,,Na,00:01:29,00:01:30.900000,,pause filler two years I think,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,Na,00:01:30.900000,00:01:32,,no this is my third year,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,Na,00:01:32.500000,00:01:33,cool,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,Na,00:01:33,00:01:38.200000,,and before that I did another cyber school that wasn't as good (laughter),,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:38.600000,00:01:45.100000,,yeah but then I'm actually pause filler switching schools to like a private school next year,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:45.200000,00:01:46.300000,,so I won't be in anymore,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:47,00:01:48.100000,,how long have you been in it,,,,,,,,,,,,,,QE,,,,
10,1,S1  ,,,0,00:01:48.200000,00:01:50.100000,seven years which I'm seventh grade so,,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,0,00:01:50.400000,00:01:50.900000,,wow,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:51.200000,00:01:53.800000,you never know (inaudible),,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:53.800000,00:01:56.800000,,exactly because before that I was home schooled,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:01:56.800000,00:01:57.400000,,so it's like,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:57.400000,00:01:59.300000,,it's not exactly cyber school,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:01:59.300000,00:02:04,,but it just (inaudible),,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:02:04,00:02:05.100000,,so do you take all virtuals,,,,,,,,,,,,,,QE,,,,
10,1,S1  ,,,0,00:02:05.700000,00:02:05.900000,yeah,,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,0,00:02:05.900000,00:02:13.100000,,okay I take two virtuals and like two self-paced which is self-pace kind of stick though,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:13.100000,00:02:14.900000,,I don't think there is as good as virtuals so,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:15,00:02:18.200000,yeah I think I did it like one year,,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,0,00:02:18.300000,00:02:20,and I didn't,,,,,,,,,,,,,,,,,,,
