"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","P1","Experimenter 2","P2"
00:00:00.292,00:00:02.567,00:00:02.275,,"here with this so let me show you the server",,,
00:00:05.211,00:00:09.878,00:00:04.667,,"what do I have with the pause filler thing to save the time",,,
00:00:09.878,00:00:10.832,00:00:00.954,,"what do I have with the pause filler thing to save the time","they put one up to the screen so",,
00:00:10.832,00:00:11.950,00:00:01.118,,,"they put one up to the screen so",,
00:00:13.000,00:00:16.705,00:00:03.705,,,,"hey calibrating calibrating calibrating",
00:00:16.705,00:00:17.000,00:00:00.295,,"pause filler calibrate",,"hey calibrating calibrating calibrating",
00:00:17.000,00:00:17.463,00:00:00.463,,"pause filler calibrate",,,
00:00:20.900,00:00:21.850,00:00:00.950,,,,,"it's like he disappears"
00:00:21.914,00:00:23.142,00:00:01.228,,,,,"and then oh he's on the screen"
00:00:23.343,00:00:24.343,00:00:01.000,,,"(laughter)",,
00:00:26.412,00:00:29.476,00:00:03.064,,"and make sure that high volume",,,
00:00:29.476,00:00:30.932,00:00:01.456,,,,"check out the last (inaudible)",
00:00:36.075,00:00:37.547,00:00:01.472,,"okay can you guys hear each other",,,
00:00:37.876,00:00:38.375,00:00:00.499,,,,,"yeah"
00:00:38.894,00:00:45.050,00:00:06.156,,,,"all right so we just need to pause filler make sure everything is working on the server first",
00:00:45.250,00:00:46.497,00:00:01.247,,,,"so take a few minutes",
00:00:46.497,00:00:47.495,00:00:00.998,,,,"just kind of hang out",
00:00:47.604,00:00:51.705,00:00:04.101,,,,"and in about five we'll test this out and make sure if server is good",
00:00:52.124,00:00:53.561,00:00:01.437,,,,"and we'll be back but we",
00:00:53.561,00:00:55.656,00:00:02.095,,,,"just hang out for a number of minutes",
00:00:55.716,00:00:59.248,00:00:03.532,,"okay so I guess you're free to just hang out a few minutes",,,
00:00:59.308,00:01:00.685,00:00:01.377,,"and don't start the problems yet",,,
00:01:01.124,00:01:01.722,00:00:00.598,,,,,"okay"
00:01:02.012,00:01:03.039,00:00:01.027,,,"they don't show up until",,
00:01:03.039,00:01:05.304,00:00:02.265,,,,,"well we don't have a pen either"
00:01:06.362,00:01:06.960,00:00:00.598,,,"I got a mouse",,
00:01:06.990,00:01:07.719,00:00:00.729,,,"that's all I need (laughter)",,
00:01:07.719,00:01:08.926,00:00:01.207,,,,,"oh you got"
00:01:08.926,00:01:11.241,00:00:02.315,,,,,"I don't have a mouse man"
00:01:11.330,00:01:11.789,00:00:00.459,,,"I do",,
00:01:12.149,00:01:13.422,00:00:01.273,,,,,"oh do you have a pen"
00:01:13.752,00:01:14.163,00:00:00.411,,,"no",,
00:01:14.396,00:01:19.138,00:00:04.742,,,,,"oh okay just (inaudible) I don't think it's going to compare"
00:01:20.360,00:01:21.467,00:00:01.107,,,"I all I have is I have a mouse",,
00:01:21.467,00:01:22.186,00:00:00.719,,,"and that's all I'm using",,
00:01:22.186,00:01:23.842,00:00:01.656,,,"because apparently one of the pens broke",,
00:01:24.061,00:01:27.105,00:00:03.044,,,,,"oh I heard about that (laughter)"
00:01:27.105,00:01:29.893,00:00:02.788,,,,,"because my brother here did a session yesterday"
00:01:30.748,00:01:33.037,00:00:02.289,,,,,"and so he said his partner broke the pen"
00:01:33.244,00:01:33.729,00:00:00.485,,,"(laughter)",,
00:01:33.729,00:01:34.106,00:00:00.377,,,"(laughter)",,"so I'm sorry"
00:01:34.106,00:01:34.957,00:00:00.851,,,,,"so I'm sorry"
00:01:35.186,00:01:37.222,00:00:02.036,,,,,"you must (inaudible) your pen"
00:01:37.541,00:01:37.803,00:00:00.262,,,,,"oh well a mouse"
00:01:37.803,00:01:38.125,00:00:00.322,,,"I-",,"oh well a mouse"
00:01:38.125,00:01:38.188,00:00:00.063,,,,,"oh well a mouse"
00:01:38.427,00:01:39.905,00:00:01.478,,,,,"a mouse is probably easier anyway"
00:01:39.905,00:01:41.855,00:00:01.950,,,"yeah I'm better with mouses so",,
00:01:41.955,00:01:42.597,00:00:00.642,,,,,"yeah"
00:01:42.748,00:01:43.588,00:00:00.840,,,"mouses",,
00:01:44.716,00:01:46.628,00:00:01.912,,,,,"I think I could do either one"
00:01:48.596,00:01:49.660,00:00:01.064,,,,,"when did you die your hair"
00:01:50.528,00:01:51.691,00:00:01.163,,,"pause filler a couple of days ago",,
00:01:51.691,00:01:51.855,00:00:00.164,,,"pause filler a couple of days ago",,"oh really cool is it permanent"
00:01:51.855,00:01:53.993,00:00:02.138,,,,,"oh really cool is it permanent"
00:01:54.194,00:01:54.861,00:00:00.667,,,,,"or is it temporary"
00:01:55.540,00:01:56.276,00:00:00.736,,,"yeah permanent",,
00:01:56.540,00:01:58.201,00:00:01.661,,,,,"okay I like it"
00:02:05.038,00:02:06.545,00:00:01.507,,,,,"I wonder if"
00:02:06.545,00:02:09.238,00:00:02.693,,,,,"okay just make sure I'm in the frame"
00:02:09.691,00:02:09.924,00:00:00.233,,,,,"am I on the frame"
00:02:09.924,00:02:10.477,00:00:00.553,,,"yup",,"am I on the frame"
00:02:10.477,00:02:10.591,00:00:00.114,,,,,"am I on the frame"
00:02:11.693,00:02:12.012,00:00:00.319,,,,,"okay good"
00:02:12.012,00:02:14.074,00:00:02.062,,,"you're perfectly in the middle just like I think I am",,
00:02:14.074,00:02:14.337,00:00:00.263,,,"you're perfectly in the middle just like I think I am",,"okay you are I just last time there's"
00:02:14.337,00:02:15.425,00:00:01.088,,,,,"okay you are I just last time there's"
00:02:15.425,00:02:15.943,00:00:00.518,,,"(laughter)",,"okay you are I just last time there's"
00:02:15.943,00:02:18.270,00:00:02.327,,,,,"okay you are I just last time there's"
00:02:18.459,00:02:21.870,00:00:03.411,,,,,"pause filler it was like a warning sign that popped up"
00:02:21.870,00:02:22.858,00:00:00.988,,,,,"and it was a covering"
00:02:23.017,00:02:23.894,00:00:00.877,,,,,"and I saw so"
00:02:23.904,00:02:25.215,00:00:01.311,,,,,"but I couldn't tell them"
00:02:25.622,00:02:27.291,00:00:01.669,,,,,"but now I can see myself"
00:02:27.617,00:02:29.992,00:00:02.375,,,"(inaudible) in the middle so I think we're good",,
00:02:29.992,00:02:31.249,00:00:01.257,,,"as long as we don't fall off or share",,
00:02:31.392,00:02:31.555,00:00:00.163,,,"(laughter)",,
00:02:31.684,00:02:37.100,00:00:05.416,,,,,"yeah yeah or like best with the camera or something"
00:02:37.694,00:02:41.276,00:00:03.582,,,"yeah this is the exact same webcam my sister has",,
00:02:41.615,00:02:42.038,00:00:00.423,,,,,"what"
00:02:42.473,00:02:44.578,00:00:02.105,,,"this is the exact same webcam my sister has",,
00:02:44.598,00:02:45.062,00:00:00.464,,,,,"really"
00:02:45.492,00:02:46.397,00:00:00.905,,,"yup",,
00:02:46.397,00:02:46.401,00:00:00.004,,,"yup",,"oh it's mine is"
00:02:46.401,00:02:48.052,00:00:01.651,,,,,"oh it's mine is"
00:02:48.631,00:02:49.971,00:00:01.340,,,,,"okay I don't know how to pronounce"
00:02:49.971,00:02:52.225,00:00:02.254,,,,,"seems like it's Logitech or Logitech"
00:02:52.225,00:02:52.330,00:00:00.105,,,"yeah",,"seems like it's Logitech or Logitech"
00:02:52.330,00:02:52.617,00:00:00.287,,,"yeah",,
00:02:52.890,00:02:56.342,00:00:03.452,,,,,"well that's what PA Cyber does for their headphones"
00:02:56.342,00:02:57.130,00:00:00.788,,,,,"I'm pretty sure"
00:02:57.593,00:02:58.168,00:00:00.575,,,"I think so",,
00:02:58.168,00:02:58.467,00:00:00.299,,,"I don't know",,
00:02:58.467,00:02:58.598,00:00:00.131,,,"I don't know",,"yeah that's the brand they use"
00:02:58.598,00:03:00.223,00:00:01.625,,,,,"yeah that's the brand they use"
00:03:00.223,00:03:00.468,00:00:00.245,,,"all I know is my sister has the literally exact same webcam",,"yeah that's the brand they use"
00:03:00.468,00:03:02.488,00:00:02.020,,,"all I know is my sister has the literally exact same webcam",,
00:03:02.488,00:03:04.081,00:00:01.593,,,"that's all I know (laughter)",,
00:03:04.081,00:03:04.187,00:00:00.106,,,"that's all I know (laughter)",,"really"
00:03:04.187,00:03:04.610,00:00:00.423,,,,,"really"
00:03:06.624,00:03:08.644,00:00:02.020,,,"because she does Skype me into our tutor",,
00:03:08.833,00:03:09.442,00:00:00.609,,,,,"oh okay"
00:03:10.759,00:03:12.086,00:00:01.327,,,"she's here this time",,
00:03:12.822,00:03:13.177,00:00:00.355,,,,,"what"
00:03:13.764,00:03:15.115,00:00:01.351,,,"my sister is here this time",,
00:03:15.229,00:03:16.396,00:00:01.167,,,,,"really okay"
00:03:16.418,00:03:18.850,00:00:02.432,,,"yeah her (inaudible)",,
00:03:19.740,00:03:22.447,00:00:02.707,,,,,"like here here or like in the building or somewhere"
00:03:23.105,00:03:25.908,00:00:02.803,,,"out no they'll be here to pick me up so",,
00:03:26.480,00:03:29.942,00:00:03.462,,,"because dad has the car (laughter) or (inaudible)",,
00:03:31.177,00:03:32.384,00:00:01.207,,,"it's eight already",,
00:03:32.913,00:03:34.841,00:00:01.928,,,,,"no I don't think it's eight"
00:03:35.663,00:03:37.254,00:00:01.591,,,"my time says eight ���o two",,
00:03:37.423,00:03:39.019,00:00:01.596,,,,,"mine says seven twenty-three"
00:03:39.019,00:03:41.789,00:00:02.770,,,,,"I wish I have my phone so I could check the real time"
00:03:41.789,00:03:41.836,00:00:00.047,,,"how",,"I wish I have my phone so I could check the real time"
00:03:41.836,00:03:42.209,00:00:00.373,,,"how",,"but I don't think it's right"
00:03:42.209,00:03:43.346,00:00:01.137,,,,,"but I don't think it's right"
00:03:43.346,00:03:45.670,00:00:02.324,,,,,"because we're supposed to start at seventy thirty"
00:03:45.670,00:03:48.769,00:00:03.099,,,,,"and no it's supposed to start at seven"
00:03:50.020,00:03:51.819,00:00:01.799,,,"it's still computer time",,
00:03:51.858,00:03:52.006,00:00:00.148,,,"it's (inaudible)",,
00:03:52.006,00:03:52.757,00:00:00.751,,,"it's (inaudible)",,""
00:03:52.757,00:03:53.006,00:00:00.249,,,"it's (inaudible)",,
00:03:53.006,00:03:53.260,00:00:00.254,,,"it's (inaudible)",,"yeah"
00:03:53.319,00:03:53.923,00:00:00.604,,,"(laughter)",,
00:03:55.634,00:03:57.094,00:00:01.460,,,"like I'm guessing they're not right",,
00:03:57.094,00:03:58.191,00:00:01.097,,,"because they're different",,
00:03:58.191,00:03:58.870,00:00:00.679,,,"maybe one is right",,
00:03:59.890,00:04:01.823,00:00:01.933,,,"but I don't think it's eight yet",,
00:04:01.982,00:04:02.890,00:00:00.908,,,"it hasn't gone enough",,
00:04:02.890,00:04:03.884,00:00:00.994,,,,,"yeah I don't think so"
00:04:04.860,00:04:05.402,00:00:00.542,,,,,"but I don't know"
00:04:07.263,00:04:07.695,00:00:00.432,,,"I mean I don't believe",,
00:04:07.698,00:04:09.595,00:00:01.897,,,"we used to spend twenty minutes",,
00:04:10.177,00:04:11.094,00:00:00.917,,,"that might be right",,
00:04:11.207,00:04:12.476,00:00:01.269,,,"mine says seven twenty-four",,
00:04:13.869,00:04:14.369,00:00:00.500,,,,,"I don't know"
00:04:22.849,00:04:25.136,00:00:02.287,,,,,"I wonder if I could no never mind"
00:04:27.378,00:04:29.456,00:00:02.078,,,"it looks like my head is going to fall off",,
00:04:29.742,00:04:30.079,00:00:00.337,,,,,"(laughter)"
