"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","P1","P2","Experimenter"
00:00:00.250,00:00:01.320,00:00:01.070,,"so you can hear me now",,
00:00:01.570,00:00:02.390,00:00:00.820,,,"yeah I can hear you now",
00:00:04.650,00:00:05.230,00:00:00.580,,"that's good",,
00:00:08.100,00:00:08.840,00:00:00.740,,"oh loading",,
00:00:09.500,00:00:10.355,00:00:00.855,,"did I hit something",,
00:00:11.790,00:00:13.502,00:00:01.712,,"wait you can see the screen as well right",,
00:00:14.170,00:00:15.580,00:00:01.410,,,"yeah I can see you yeah",
00:00:15.926,00:00:17.629,00:00:01.703,,"let's see",,
00:00:22.070,00:00:26.690,00:00:04.620,,"wait okay we go no no okay that's weird",,
00:00:28.880,00:00:34.090,00:00:05.210,,"huh wait you see the screen with all the green on it right",,
00:00:34.410,00:00:35.310,00:00:00.900,,,"yeah yeah yeah yeah",
00:00:35.420,00:00:37.467,00:00:02.047,,"yeah I see it eraser maybe",,
00:00:38.550,00:00:43.390,00:00:04.840,,"it's weird why is it okay because we hit super big huh",,
00:00:45.135,00:00:45.909,00:00:00.774,,"this is weird I",,
00:00:48.669,00:00:48.889,00:00:00.220,,"Nope",,
00:00:49.784,00:00:50.174,00:00:00.390,,"Oops",,
00:00:51.000,00:00:52.991,00:00:01.991,,,"maybe if you just hit undo button or something",
00:00:54.070,00:00:56.524,00:00:02.454,,"because the undo button is not working over here",,
00:00:58.450,00:00:59.249,00:00:00.799,,"there we go",,
00:00:59.939,00:01:01.929,00:00:01.990,,"umm that all it's going to do umm",,
00:01:02.940,00:01:07.190,00:00:04.250,,"oh I think I know what happened probably because yeah okay",,
00:01:09.640,00:01:12.550,00:00:02.910,,"oh well I think yeah I think I know what the problem is",,
00:01:12.740,00:01:16.790,00:00:04.050,,"I'm just going to try that but okay",,
00:01:22.690,00:01:29.420,00:00:06.730,,"huh okay it depends oh there okay that would make it okay oh so probably negative three",,
00:01:29.890,00:01:30.790,00:00:00.900,,"oh that was a great three",,
00:01:31.700,00:01:34.630,00:00:02.930,,"plus x equals twenty-two",,
00:01:34.970,00:01:35.535,00:00:00.565,,,"wait I can't",
00:01:36.067,00:01:36.950,00:00:00.883,,"can you see that",,
00:01:37.451,00:01:38.540,00:00:01.089,,,"wait should I go on page",
00:01:40.070,00:01:40.400,00:00:00.330,,,"Page",
00:01:41.000,00:01:42.455,00:00:01.455,,"I don't know umm wait",,
00:01:45.972,00:01:47.552,00:00:01.580,,"umm I don't know no",,
00:01:49.547,00:01:50.720,00:00:01.173,,,"all right is that the page you're on",
00:01:51.590,00:01:54.640,00:00:03.050,,"I can't see it can you scribble on it I don't know",,
00:01:58.820,00:01:59.630,00:00:00.810,,,"no",
00:02:00.100,00:02:03.143,00:00:03.043,,"nope umm what do you see on it",,
00:02:04.420,00:02:11.240,00:00:06.820,,,"umm I'll go to a page keep going on pages I can all I see is different pages with like scribbles and stuff",
