"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","P1","Experimenter 2","P2","Experiment 1"
00:00:00.012,00:00:04.841,00:00:04.829,,"(inaudible) there but we can't solve the problems yet so I am actually gonna take the stylus",,,,
00:00:05.930,00:00:07.890,00:00:01.960,,"you can't start the problem so I am gonna take the stylus",,,,
00:00:11.670,00:00:12.460,00:00:00.790,,"can you guys hear each other",,,,
00:00:13.290,00:00:13.660,00:00:00.370,,,"what",,,
00:00:13.870,00:00:14.510,00:00:00.640,,"do you hear him",,,,
00:00:16.790,00:00:18.100,00:00:01.310,,"perfect alright I will be back in few minutes",,,,
00:00:25.500,00:00:26.450,00:00:00.950,,"there's just one more thing I need to do",,,,
00:08:17.220,00:08:18.700,00:00:01.480,,"hi can you take your headphones off",,,,
00:08:26.090,00:08:28.720,00:00:02.630,,"oh boy alright I am gonna be right back",,,,
00:08:31.340,00:08:32.120,00:00:00.780,,"umm thanks for letting me know",,,,
00:08:49.710,00:08:51.440,00:00:01.730,,,,"and the page number is down there",,
00:08:51.580,00:08:52.000,00:00:00.420,,,,,"alright",
00:09:12.800,00:09:16.590,00:00:03.790,,"alright sorry about that so that's okay",,,,
00:09:20.640,00:09:21.940,00:00:01.300,,"I will just put that over there",,,,
00:09:24.680,00:09:26.750,00:00:02.070,,"okay so thanks your patience sorry about that ",,,,
00:09:26.790,00:09:28.704,00:00:01.914,,"use your stylus on the console",,,,
00:09:46.520,00:09:50.620,00:00:04.100,,"so you have twenty minutes to help them work through as many problems as you can ",,,,
00:09:52.550,00:09:56.750,00:00:04.200,,"just remember to make sure that you aren't solving the problems yourself ",,,,
00:09:56.760,00:10:00.250,00:00:03.490,,"just use the stylus to circle or underline if you need to solve the problems ",,,,
00:10:00.940,00:10:05.925,00:00:04.985,,"no pressure if you can't get through them all and so if you can go ahead and get started",,,,
00:10:05.925,00:10:07.641,00:00:01.716,,,"so there's one on every page",,,
00:10:07.641,00:10:08.210,00:00:00.569,,"yes",,,,
00:10:08.300,00:10:11.732,00:00:03.432,,,"so I just go to there to go to the next problem",,,
00:10:11.772,00:10:12.032,00:00:00.260,,"yeah",,,,
00:10:12.032,00:10:14.227,00:00:02.195,,,"and they work they do the problem",,,
00:10:14.316,00:10:16.662,00:00:02.346,,"yeah and you can like talk to each other about the problems",,,,
00:10:16.900,00:10:20.171,00:00:03.271,,"and you can put your headphones back on and then when I come back (inaudible) you can just take them off and can you (inaudible)",,,,
00:10:22.916,00:10:24.491,00:00:01.575,,"you can put your headphones on whenever you're ready",,,,
00:11:44.542,00:11:45.768,00:00:01.226,,,"you can start",,,
00:11:45.888,00:12:00.904,00:00:15.016,,,,,"okay so pause filler all right this thing's weird to control pause filler",
00:12:25.029,00:12:29.679,00:00:04.650,,,,,"so is this how pause filler to start the equation",
00:12:37.518,00:12:39.696,00:00:02.178,,,"yeah so then the sixes cancel out",,,
00:12:39.925,00:12:40.065,00:00:00.140,,,,,"yeah",
00:12:40.115,00:12:42.230,00:00:02.115,,,"and then you add thirteen to six",,,
00:12:42.809,00:12:47.259,00:00:04.450,,,,,"yeah okay so you get x equals pause filler nineteen",
00:12:47.000,00:12:48.000,00:00:01.000,,,"pause filler",,,
00:12:53.737,00:12:57.236,00:00:03.499,,,,,"all right so fifteen equals negative eight plus p",
00:13:00.026,00:13:01.047,00:00:01.021,,,,,"so you have fifteen",
00:13:02.315,00:13:03.422,00:00:01.107,,,,,"and then you add eight",
00:13:03.422,00:13:06.984,00:00:03.562,,,,,"because you undo the eights correct okay",
00:13:07.054,00:13:07.283,00:00:00.229,,,"yeah",,,
00:13:20.861,00:13:22.399,00:00:01.538,,,,,"and so the eights cancel out",
00:13:22.688,00:13:24.105,00:00:01.417,,,,,"and then you get fifteen plus eight",
00:13:24.324,00:13:29.832,00:00:05.508,,,,,"pause filler you get twenty-three",
00:13:31.159,00:13:31.378,00:00:00.219,,,"yeah",,,
00:13:31.688,00:13:44.229,00:00:12.541,,,,,"equals p okay all right so this problem works the same as everything else",
00:13:44.898,00:13:45.227,00:00:00.329,,,"pause filler yeah",,,
00:13:45.227,00:13:50.834,00:00:05.607,,,,,"okay so you use thirteen minus eleven",
00:14:00.901,00:14:05.571,00:00:04.670,,,,,"seventeen minus eleven is six equals k",
00:14:16.027,00:14:20.108,00:00:04.081,,,,,"so for this problem you would divide out the forty-four",
00:14:20.477,00:14:20.796,00:00:00.319,,,"yeah",,,
00:14:20.980,00:14:21.360,00:00:00.380,,,,,"okay",
00:14:32.580,00:14:35.440,00:00:02.860,,,,"two twenty divided by fourty four is",,
00:14:53.786,00:14:56.000,00:00:02.214,,,,,"forty-five so",
00:15:00.900,00:15:05.584,00:00:04.684,,,,,"I have five because twenty two hundred twenty divided by forty-four is five",
00:15:06.203,00:15:06.542,00:00:00.339,,,"yeah",,,
00:15:11.870,00:15:13.579,00:00:01.709,,,,,"negative nine plus thirteen p ",
00:15:46.350,00:15:47.070,00:00:00.720,,,,,"fifty",
00:15:47.938,00:15:48.547,00:00:00.609,,,"fifty",,,
00:15:48.826,00:15:55.266,00:00:06.440,,,,,"yeah so p equals fifty thirteenths ",
00:16:23.849,00:16:38.543,00:00:14.694,,,,,"twenty twenty-four over six over six equals pause filler four okay",
00:17:10.200,00:17:13.603,00:00:03.403,,,,,"forty plus twenty-two is sixty-two",
00:17:12.000,00:17:13.000,00:00:01.000,,,"pause filler",,,
00:17:24.000,00:17:31.000,00:00:07.000,,,,,"yeah sixty-two fifteenths equals k ",
00:18:13.690,00:18:14.140,00:00:00.450,,,,,"yeah",
00:18:14.417,00:18:15.173,00:00:00.756,,,"yeah that's right",,,
00:18:15.403,00:18:18.985,00:00:03.582,,,,,"okay so they pretty much follow the same rules of just going",
00:18:19.783,00:18:20.122,00:00:00.339,,,"yeah",,,
00:18:20.242,00:18:20.608,00:00:00.366,,,,,"yeah all right so",
00:18:25.310,00:18:26.190,00:00:00.880,,,,,"alright so",
00:18:27.456,00:18:34.120,00:00:06.664,,,"okay so what you do is you subtract this p",,,
00:18:34.819,00:18:35.228,00:00:00.409,,,,,"pause filler okay",
00:18:35.487,00:18:36.854,00:00:01.367,,,"pause filler from this p",,,
00:18:37.084,00:18:39.957,00:00:02.873,,,,,"okay so you want all the variables on one side",
00:18:39.957,00:18:41.400,00:00:01.443,,,,,"and then you get the equation",
00:18:59.173,00:18:59.364,00:00:00.191,,,,,"nope",
00:19:06.530,00:19:11.720,00:00:05.190,,,,,"so you get fifteen equals four p",
00:19:12.932,00:19:16.194,00:00:03.262,,,"one two p because you're subtracting",,,
00:19:15.820,00:19:16.750,00:00:00.930,,,,,"oh okay thank you",
00:19:24.542,00:19:26.391,00:00:01.849,,,,,"three because you subtract twelve",
00:19:27.230,00:19:35.271,00:00:08.041,,,,,"and then you get three equals two p or one-point-five equals p",
00:19:36.798,00:19:37.267,00:00:00.469,,,"yup",,,
00:19:42.066,00:19:43.822,00:00:01.756,,,,,"you get pause filler k",
00:19:43.822,00:19:48.222,00:00:04.400,,,,,"you'd subtract the k to get seven k",
00:19:49.050,00:19:49.240,00:00:00.190,,,"no",,,
00:19:50.068,00:19:50.247,00:00:00.179,,,,,"right",
00:19:50.247,00:19:53.430,00:00:03.183,,,"this the eight k would become the seven k",,,
00:19:53.550,00:19:56.363,00:00:02.813,,,,,"yeah and that equals ten",
00:19:57.132,00:19:57.471,00:00:00.339,,,"yeah",,,
00:19:57.621,00:20:00.594,00:00:02.973,,,,,"negative ten negative ten because there's a subtraction sign there",
00:20:00.993,00:20:03.936,00:00:02.943,,,,,"then you add the sixty-eight to get",
00:20:04.695,00:20:09.005,00:00:04.310,,,,,"pause filler seven k equals seventy-eight",
00:20:10.412,00:20:17.635,00:00:07.223,,,,,"and then you get k equals pause filler seventy-eight sevenths",
00:20:20.571,00:20:22.664,00:00:02.093,,,,,"that may or may not be reducible",
00:20:22.664,00:20:24.579,00:00:01.915,,,,,"but that is the answer",
00:20:24.968,00:20:25.348,00:00:00.380,,,"yeah",,,
00:20:29.588,00:20:30.240,00:00:00.652,,,,,"okay",
00:20:35.740,00:20:37.420,00:00:01.680,,,,,"do you have any idea where they are",
00:20:38.228,00:20:38.897,00:00:00.669,,,"nope",,,
00:20:39.226,00:20:40.012,00:00:00.786,,,,,"okay then",
00:20:47.870,00:20:49.910,00:00:02.040,,,,,"they're somewhere near where I am",
00:21:22.877,00:21:24.793,00:00:01.916,,,,"you're going to continue in the same roles",,
00:21:24.922,00:21:25.062,00:00:00.140,,,,,"what",
00:21:25.380,00:21:26.690,00:00:01.310,,,,"you're going to stay in the same roles",,
00:21:26.566,00:21:26.923,00:00:00.357,,,,,"okay",
00:21:26.742,00:21:27.500,00:00:00.758,,,,"he's going to be tutoring you",,
00:21:27.753,00:21:27.941,00:00:00.188,,,,,"okay",
00:21:30.110,00:21:32.086,00:00:01.976,,"so you guys got to the",,,,
00:21:32.086,00:21:32.146,00:00:00.060,,,"yeah",,,
00:21:32.146,00:21:38.968,00:00:06.822,,"next page okay now was this a new I guess they already moved it for you all right",,,,
00:21:44.568,00:21:47.032,00:00:02.464,,,,,"all right so you have pause filler",
00:21:47.381,00:21:50.384,00:00:03.003,,,,,"you subtract the r",
00:21:50.384,00:21:52.619,00:00:02.235,,,,,"pause filler so you're left with one r",
00:21:52.619,00:22:00.242,00:00:07.623,,,,,"so you get negative thirty-three equals pause filler r minus fifteen",
00:22:00.841,00:22:03.275,00:00:02.434,,,,,"you add fifteen to both sides",
00:22:05.041,00:22:12.000,00:00:06.959,,,,,"so you get pause filler negative thirty-three plus fifteen is negative twenty pause filler eighteen",
00:22:16.075,00:22:17.236,00:00:01.161,,,,,"you have eighteen",
00:22:20.636,00:22:20.994,00:00:00.358,,,"yes",,,
00:22:21.050,00:22:23.480,00:00:02.430,,,,,"okay so yeah negative fifteen equals r",
00:22:27.749,00:22:33.796,00:00:06.047,,,,"",,
00:22:30.849,00:22:33.796,00:00:02.947,,,"okay so it's the same thing",,,
00:22:34.235,00:22:37.557,00:00:03.322,,,,,"yeah okay so you subtract u",
00:22:37.886,00:22:47.435,00:00:09.549,,,,,"and you get negative forty-two equals eight plus three u",
00:22:48.935,00:22:53.680,00:00:04.745,,,,,"and then you get equals then you get",
00:22:53.680,00:22:56.255,00:00:02.575,,,,,"then you subtract the eight",
00:22:57.043,00:22:59.168,00:00:02.125,,,,,"so you get negative fifty",
00:23:00.774,00:23:04.666,00:00:03.892,,,,,"fifty equals three u",
00:23:04.666,00:23:06.771,00:00:02.105,,,,,"and you get pause filler",
00:23:06.771,00:23:08.437,00:00:01.666,,,,,"you divide by three",
00:23:08.437,00:23:17.200,00:00:08.763,,,,,"and you get negative fifty thirds equals u ",
00:23:20.930,00:23:22.880,00:00:01.950,,,,,"okay just larger numbers",
00:23:25.418,00:23:26.466,00:00:01.048,,,,,"so you subtract the n",
00:23:26.715,00:23:28.172,00:00:01.457,,,,,"you get ninety-nine n",
00:23:28.172,00:23:39.397,00:00:11.225,,,,,"so you get one hundred six equals pause filler ninety-nine n plus seven n seven",
00:23:40.883,00:23:42.978,00:00:02.095,,,,,"and you subtract seven",
00:23:42.978,00:23:47.139,00:00:04.161,,,,,"and you get ninety-nine n equals ninety nine",
00:23:50.102,00:23:54.089,00:00:03.987,,,,,"so you get n equals one one ",
00:23:59.770,00:24:04.949,00:00:05.179,,,,,"alright okay so subtract g",
00:24:05.807,00:24:06.944,00:00:01.137,,,,,"subtract g",
00:24:06.944,00:24:15.754,00:00:08.810,,,,,"you get fifty-five equals seven plus twelve g",
00:24:15.000,00:24:16.000,00:00:01.000,,,"pause filler",,,
00:24:15.993,00:24:16.871,00:00:00.878,,,,,"because you're subtracting",
00:24:19.510,00:24:22.820,00:00:03.310,,,,,"and then you subtract the seven you get ",
00:24:24.830,00:24:25.610,00:00:00.780,,,,,"get rid of that",
00:24:27.058,00:24:32.466,00:00:05.408,,,,,"fifty-five minus seven is forty-eight equals twelve g",
00:24:33.005,00:24:36.936,00:00:03.931,,,,,"pause filler you divide by twelve",
00:24:37.026,00:24:40.129,00:00:03.103,,,,,"you get four equals g",
00:24:41.765,00:24:41.885,00:00:00.120,,,"good",,,
00:24:43.485,00:24:48.539,00:00:05.054,,,,,"okay negative eleven plus y equals twenty-four plus eight y",
00:24:48.899,00:24:53.648,00:00:04.749,,,,,"subtract y good enough",
00:24:54.925,00:25:04.633,00:00:09.708,,,,,"negative eleven equals pause filler twenty-four pause filler plus plus seven y",
00:25:04.633,00:25:08.734,00:00:04.101,,,,,"pause filler you subtract the twenty-four",
00:25:09.173,00:25:15.618,00:00:06.445,,,,,"you get negative thirty-five equals seven y",
00:25:18.332,00:25:19.479,00:00:01.147,,,,,"and so you divide",
00:25:19.599,00:25:22.003,00:00:02.404,,,,,"you get pause filler seven",
