"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:00:00.025,00:00:02.205,00:00:02.180,,"so I just have to go check on something really quickly",,,
00:00:02.205,00:00:05.828,00:00:03.623,,"maybe you guys can talk to know each other and then",,,
00:00:12.088,00:00:15.891,00:00:03.803,,,"okay pause filler well hi",,
00:00:16.260,00:00:16.784,00:00:00.524,,,,"hi",
00:00:17.955,00:00:22.348,00:00:04.393,,,"pause filler I think I like met you at that like TechNights thing or something",,
00:00:22.561,00:00:23.369,00:00:00.808,,,,"yeah",
00:00:23.768,00:00:27.794,00:00:04.026,,,"I remember you were wearing like the (inaudible) hat or something I don't know",,
00:00:27.800,00:00:28.069,00:00:00.269,,,,"yeah",
00:00:28.228,00:00:30.144,00:00:01.916,,"we need to test something out to you five minutes",,,
00:00:29.388,00:00:29.865,00:00:00.477,,,,"okay",
00:00:30.473,00:00:31.122,00:00:00.649,,"don't start working",,,
00:00:31.122,00:00:32.384,00:00:01.262,,"just like hang out and talk",,,
00:00:32.664,00:00:33.167,00:00:00.503,,,,"okay",
00:00:33.247,00:00:35.362,00:00:02.115,,"and (inaudible) test",,,
00:00:36.041,00:00:36.310,00:00:00.269,,,,"okay",
00:00:36.400,00:00:37.976,00:00:01.576,,"so I'll close it with that continue",,,
00:00:38.136,00:00:41.368,00:00:03.232,,,,"yeah that was like a few months ago right",
00:00:41.847,00:00:42.197,00:00:00.350,,,"yeah",,
00:00:42.616,00:00:43.266,00:00:00.650,,,,"what's your name",
00:00:43.800,00:00:45.349,00:00:01.549,,,"Ania what's yours",,
00:00:45.798,00:00:46.188,00:00:00.390,,,,"Liz",
00:00:46.477,00:00:46.726,00:00:00.249,,,"okay",,
00:00:51.635,00:00:54.678,00:00:03.043,,,,"I'm literally doing this study because I found that I was getting paid",
00:00:55.417,00:00:57.292,00:00:01.875,,,"yeah that�s why I'm doing it",,
00:00:57.292,00:00:58.534,00:00:01.242,,,,"I think that�s why everyone�s doing it",
00:01:00.894,00:01:02.820,00:00:01.926,,,,"at least that shouldn't be that horribly hard right",
00:01:03.391,00:01:06.623,00:00:03.232,,,"yeah the math seems pretty easy so",,
00:01:05.623,00:01:12.857,00:00:07.234,,,,"yeah it's not like word problems so (inaudible) because I don't know anything about those",
00:01:16.399,00:01:17.546,00:00:01.147,,,,"he took the stylus",
00:01:18.305,00:01:19.891,00:00:01.586,,,"yeah he took it as well",,
00:01:21.797,00:01:23.800,00:00:02.003,,,,"is that part of the study (laughter)",
00:01:28.640,00:01:29.291,00:00:00.651,,,,"probably",
00:01:29.968,00:01:30.118,00:00:00.150,,,"yeah",,
00:01:43.437,00:01:45.652,00:00:02.215,,,,"so many like people walking around the building",
00:01:45.652,00:01:47.578,00:00:01.926,,,,"and literally everyone has looked into this room",
00:01:47.578,00:01:49.085,00:00:01.507,,,,"and it's so uncomfortable",
00:01:52.926,00:01:55.330,00:00:02.404,,,"yeah they're like go yeah sorry",,
00:01:55.749,00:01:57.705,00:00:01.956,,,,"they just like put me in this little lab",
00:01:57.705,00:01:59.980,00:00:02.275,,,,"and there's at least games and stuff in it it's like",
00:02:01.506,00:02:03.532,00:00:02.026,,,"yeah they just left me for twenty minutes",,
00:02:03.532,00:02:05.108,00:00:01.576,,,"I had no idea where anyone was",,
00:02:05.108,00:02:07.433,00:00:02.325,,,"so I was like did they forget about me",,
00:02:09.780,00:02:10.922,00:00:01.142,,,,"no they left me",
00:02:11.535,00:02:13.010,00:00:01.475,,,,"I don't know why but left me here for a while",
00:02:13.010,00:02:14.317,00:00:01.307,,,,"and I was just sat on my phone",
00:02:14.317,00:02:15.265,00:00:00.948,,,,"and then they took it",
00:02:15.624,00:02:17.251,00:00:01.627,,,"yeah they took my phone",,
00:02:18.727,00:02:19.920,00:00:01.193,,,,"there",
00:02:20.727,00:02:23.086,00:00:02.359,,,,"there but you know it's distracting",
00:02:24.497,00:02:25.781,00:00:01.284,,,,"there but you know it's distracting",
00:02:25.991,00:02:26.200,00:00:00.209,,,"yeah",,
00:02:27.348,00:02:31.678,00:00:04.330,,,,"because then I have a calculator ",
00:02:35.569,00:02:36.880,00:00:01.311,,,,"(inaudible) person",
00:02:51.020,00:02:51.652,00:00:00.632,,,,"this pencil is fancy yeah",
00:03:47.933,00:03:50.504,00:00:02.571,,,,"there's a person at the door but it's not him",
00:03:52.161,00:03:54.589,00:00:02.428,,,"are there loads of people like walking past you or something",,
00:03:54.821,00:03:58.760,00:00:03.939,,,,"yeah wait are you like at the end of the hall or something",
00:03:58.760,00:04:00.750,00:00:01.990,,,,"or are you like in a totally different area",
00:04:01.363,00:04:01.973,00:00:00.610,,,"I don't know",,
00:04:01.973,00:04:04.856,00:00:02.883,,,"all I'm seeing is like loads of desks and chairs",,
00:04:05.385,00:04:07.879,00:00:02.494,,,,"where are you downstairs or upstairs",
00:04:08.009,00:04:08.717,00:00:00.708,,,"upstairs",,
00:04:10.324,00:04:10.726,00:00:00.402,,,,"oh",
00:04:13.426,00:04:13.836,00:00:00.410,,,,"it's weird",
00:04:13.836,00:04:16.180,00:00:02.344,,,,"because it looks like you're just against the blank wall right now",
00:04:17.630,00:04:20.229,00:00:02.599,,,,"and then I have like a whole room behind me",
00:04:22.806,00:04:24.803,00:00:01.997,,,,"really nice (inaudible) here (inaudible) computer",
00:05:01.673,00:05:03.300,00:00:01.627,,,,"Okay where are they",
00:05:03.480,00:05:05.898,00:00:02.418,,,"I know they said like they take like five minutes but",,
00:05:06.153,00:05:11.241,00:00:05.088,,,,"well that�s what the packets (inaudible)  I saw it wait I don't think I should say that (inaudible)",
00:05:47.524,00:05:49.105,00:00:01.581,,,"I wish I had my phone",,
00:05:54.335,00:05:55.960,00:00:01.625,,,,"there's why (inaudible) and stuff",
00:05:57.780,00:05:59.865,00:00:02.085,,,"when they asked to take it away I was like",,
00:05:59.865,00:06:02.868,00:00:03.003,,,"I could just say no and just keep it but",,
00:06:04.127,00:06:06.929,00:00:02.802,,,,"we're getting paid forty bucks for ninety minutes",
00:06:07.018,00:06:08.226,00:00:01.208,,,,"I think that�s under minimum (inaudible)",
00:06:08.415,00:06:10.570,00:00:02.155,,,,"or that is minimum wage",
00:06:16.340,00:06:19.735,00:00:03.395,,,,"the last study I did here took like five minutes and they paid me twenty bucks ",
00:06:22.225,00:06:24.399,00:00:02.174,,,,"an hour and a half",
00:06:24.399,00:06:29.747,00:00:05.348,,,,"I didn't realize I was signing up to do math problems that I did for a homework",
00:06:29.747,00:06:30.405,00:00:00.658,,,"are you an eighth grader",,
00:06:30.984,00:06:31.751,00:00:00.767,,,,"yeah are you",
00:06:31.920,00:06:32.600,00:00:00.680,,,"yeah same",,
00:06:33.280,00:06:33.937,00:00:00.657,,,,"where do you go to school",
00:06:34.406,00:06:36.571,00:00:02.165,,,"Folk School where do you go",,
00:06:37.070,00:06:37.699,00:00:00.629,,,,"I go to Shadyside",
00:06:37.699,00:06:39.944,00:00:02.245,,,,"but I'm going to Winchester next year so",
00:06:39.944,00:06:40.163,00:00:00.219,,,"okay",,
00:06:41.163,00:06:41.939,00:00:00.776,,,,"I don't like Shadyside",
00:06:44.262,00:06:45.750,00:00:01.488,,,,"oh my god I just broke the pencil",
00:06:57.557,00:07:00.040,00:00:02.483,,,,"okay they're back okay",
00:07:00.644,00:07:01.205,00:00:00.561,,"hey thanks for your patience",,,
00:07:01.415,00:07:02.502,00:00:01.087,,"everything seems to be working",,,
00:07:03.011,00:07:07.511,00:00:04.500,,"so you have about twenty minutes pause filler to help pause filler",,,
