"Temps de départ - hh:mm:ss.ms","temps de fin - hh:mm:ss.ms","Durée - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:00:00.500,00:00:06.800,00:00:06.300,,"yeah so take a few minutes to introduce yourselves to other verify (inaudible)",,,
00:00:07.177,00:00:07.746,00:00:00.569,,,"okay okay",,
00:00:11.700,00:00:13.200,00:00:01.500,,,"okay hi",,
00:00:14.008,00:00:14.620,00:00:00.612,,,,"hi",
00:00:15.600,00:00:17.000,00:00:01.400,,,"pause filler what's your name",,
00:00:17.300,00:00:17.700,00:00:00.400,,,,"Maya",
00:00:17.700,00:00:18.500,00:00:00.800,,,,"what's yours",
00:00:18.800,00:00:19.500,00:00:00.700,,,"Maddie",,
00:00:20.100,00:00:22.000,00:00:01.900,,,"yeah where do you go to school",,
00:00:22.500,00:00:24.632,00:00:02.132,,,,"I go to (inaudible)",
00:00:25.466,00:00:27.891,00:00:02.425,,,"I go to CAPA yeah",,
00:00:28.329,00:00:29.050,00:00:00.721,,,"what grade are you in",,
00:00:29.500,00:00:30.291,00:00:00.791,,,,"I'm in seventh",
00:00:31.100,00:00:31.607,00:00:00.507,,,"same",,
00:00:32.800,00:00:34.100,00:00:01.300,,,"do you like algebra",,
00:00:34.800,00:00:35.300,00:00:00.500,,,,"nope",
00:00:35.800,00:00:36.300,00:00:00.500,,,"same",,
00:00:36.300,00:00:37.506,00:00:01.206,,,"I hate it",,
00:00:37.506,00:00:44.113,00:00:06.607,,,"(laughter) yup but yeah but do you have to take keystones",,
00:00:44.391,00:00:44.991,00:00:00.600,,,,"uh-uh",
00:00:45.099,00:00:49.379,00:00:04.280,,,"no well I have to take the keystones at the end of the year for algebra",,
00:00:50.400,00:00:55.700,00:00:05.300,,,"and I'm probably going to fail it (laughter) because like I am not good at algebra",,
00:00:55.700,00:00:57.400,00:00:01.700,,,"but you know I'll try",,
00:00:58.366,00:00:58.400,00:00:00.034,,,,"yeah",
00:00:58.400,00:00:58.766,00:00:00.366,,,"yeah","yeah",
00:00:58.766,00:00:58.900,00:00:00.134,,,"yeah",,
00:00:58.900,00:00:59.300,00:00:00.400,,,"yeah",,
00:01:10.799,00:01:11.733,00:00:00.934,,,,"so how old are you",
00:01:12.400,00:01:13.400,00:00:01.000,,,"I'm twelve",,
00:01:13.600,00:01:17.500,00:00:03.900,,,"I'm almost thirteen though because my birthday is tomorrow so yeah",,
00:01:19.200,00:01:20.000,00:00:00.800,,,"how about you",,
00:01:20.924,00:01:23.441,00:00:02.517,,,,"I'm turning thirteen pause filler on the thirtieth",
00:01:25.100,00:01:27.300,00:00:02.200,,,"oh of April",,
00:01:28.000,00:01:28.200,00:00:00.200,,,,"yeah",
00:01:28.200,00:01:29.900,00:00:01.700,,,"oh that's my friend's birthday yeah",,
00:01:30.500,00:01:31.400,00:00:00.900,,,,"that's cool",
00:01:31.500,00:01:33.700,00:00:02.200,,,"yeah mm-hmm yeah",,
00:01:36.449,00:01:40.799,00:00:04.350,,,,"so what's your worst subject do you think in school",
00:01:40.799,00:01:40.841,00:00:00.042,,,"probably algebra (laughter)","so what's your worst subject do you think in school",
00:01:40.841,00:01:41.999,00:00:01.158,,,"probably algebra (laughter)",,
00:01:43.083,00:01:44.300,00:00:01.217,,,,"mine's history",
00:01:44.300,00:01:45.700,00:00:01.400,,,"oh yeah mm-hmm",,
00:01:47.541,00:01:49.899,00:00:02.358,,,"do you know what's your favorite subject",,
00:01:50.300,00:01:53.100,00:00:02.800,,,,"pause filler not Spanish that's for sure",
00:01:53.100,00:01:56.700,00:00:03.600,,,"oh I don't have yeah that's probably science yeah",,
00:01:56.700,00:01:57.600,00:00:00.900,,,"but I don't",,
00:01:57.600,00:01:59.600,00:00:02.000,,,"yeah we don't have languages at our school",,
00:01:59.600,00:02:00.000,00:00:00.400,,,"it's weird",,
00:02:00.000,00:02:02.200,00:00:02.200,,,"only in high school yeah",,
00:02:03.700,00:02:04.700,00:00:01.000,,,,"you're lucky",
00:02:05.500,00:02:06.800,00:00:01.300,,,"oh is it bad",,
00:02:07.200,00:02:09.100,00:00:01.900,,,,"yeah my teacher just talks",
00:02:09.100,00:02:11.100,00:00:02.000,,,,"and she doesn't like let us do work",
00:02:11.100,00:02:13.202,00:00:02.102,,,,"she just rambles on",
00:02:13.443,00:02:16.848,00:00:03.405,,,"mm-hmm we have so many crazy teachers that's why",,
00:02:19.300,00:02:22.700,00:00:03.400,,,"yeah like our algebra teacher",,
00:02:22.700,00:02:23.400,00:00:00.700,,,"oh my god",,
00:02:23.400,00:02:24.600,00:00:01.200,,,"he's terrible",,
00:02:26.696,00:02:33.405,00:00:06.709,,,"he's like (sfx) yeah (sfx)",,
00:02:44.392,00:02:46.050,00:00:01.658,,,"and they want to start",,
00:02:47.037,00:02:47.721,00:00:00.684,,,,"me too",
00:02:47.721,00:02:47.810,00:00:00.089,,,"yeah I hope it's not too hard though","me too",
00:02:47.810,00:02:50.215,00:00:02.405,,,"yeah I hope it's not too hard though",,
00:02:50.645,00:02:51.189,00:00:00.544,,,,"yeah",
00:02:51.468,00:02:52.900,00:00:01.432,,,"it's probably going to be like hard",,
00:02:52.900,00:02:57.000,00:00:04.100,,,"and I'm not going to like get it but (laughter) yeah",,
00:03:01.758,00:03:05.000,00:00:03.242,,,,"there is food in this room",
00:03:05.000,00:03:05.008,00:00:00.008,,,"same","there is food in this room",
00:03:05.008,00:03:05.400,00:00:00.392,,,"same",,
00:03:05.400,00:03:07.300,00:00:01.900,,,"there is a fridge here",,
00:03:07.400,00:03:09.808,00:00:02.408,,,"it's like I'm going to get it I'll go get the food",,
00:03:09.866,00:03:10.066,00:00:00.200,,,,"yeah",
00:03:11.891,00:03:20.508,00:00:08.617,,,"mm-hmm yeah and there's like whiteboard all around here with like stuff all on it like that I don't understand",,
00:03:20.700,00:03:27.000,00:00:06.300,,,"it's like what's for like it's actually it's for like (inaudible)",,
00:03:27.700,00:03:31.100,00:00:03.400,,,,"yeah I have a TV in this room",
00:03:31.100,00:03:32.400,00:00:01.300,,,"oh really yeah that's like",,
00:03:32.400,00:03:32.600,00:00:00.200,,,,"yeah",
00:03:32.600,00:03:39.900,00:00:07.300,,,"yeah that seems like sort of like a laundry room because there's like kitchen and cabinet stuff and",,
00:03:40.200,00:03:40.700,00:00:00.500,,,,"yeah",
00:03:40.700,00:03:42.800,00:00:02.100,,,"yeah like a meeting room",,
00:03:42.900,00:03:45.500,00:00:02.600,,,"I don't know yeah",,
00:03:47.900,00:03:52.200,00:00:04.300,,,"and then like outside there there's like Legos and like baby toys",,
00:03:52.200,00:03:58.600,00:00:06.400,,,"(laughter) I don't know why it's like there's like a dollhouse",,
00:03:59.900,00:04:00.900,00:00:01.000,,,,"that's weird",
00:04:00.900,00:04:01.400,00:00:00.500,,,"yeah",,
00:04:03.600,00:04:06.300,00:00:02.700,,,,"I have no dollhouses in here",
00:04:07.100,00:04:07.500,00:00:00.400,,,"yeah",,
00:04:09.874,00:04:11.233,00:00:01.359,,,,"I do have doughnuts",
00:04:11.400,00:04:13.700,00:00:02.300,,,"oh there's like",,
00:04:13.700,00:04:26.874,00:00:13.174,,,"pause filler yeah so if there's anything else exciting about this room",,
00:04:27.024,00:04:35.624,00:00:08.600,,,"but there's like pause filler",,
00:04:39.500,00:04:41.900,00:00:02.400,,,,"there's two windows in this room",
00:04:41.900,00:04:43.300,00:00:01.400,,,,"and I just keep on looking out",
00:04:43.300,00:04:46.400,00:00:03.100,,,,"and there's like a whole bunch of people passing back and forth",
00:04:46.600,00:04:50.100,00:00:03.500,,,"yeah there's like another room on the outside of here too I can see",,
00:04:50.100,00:04:53.500,00:00:03.400,,,"and there's like a bunch of people like working it's like",,
00:04:53.500,00:04:58.000,00:00:04.500,,,"oh he's coming pause filler all right",,
00:04:58.000,00:05:04.100,00:00:06.100,,"everything is working and setup",,,
00:05:04.500,00:05:05.800,00:00:01.300,,"so we will begin",,,
00:05:05.800,00:05:06.900,00:00:01.100,,,"all right",,
00:05:09.800,00:05:11.900,00:00:02.100,,"all right there you go",,,
00:05:12.000,00:05:14.341,00:00:02.341,,"so this is pause filler problem one",,,
00:05:15.866,00:05:16.549,00:00:00.683,,"and she'll be tutoring you pause filler",,,
00:05:17.574,00:05:19.099,00:00:01.525,,"and you're black because she's green",,,
00:05:20.233,00:05:21.333,00:00:01.100,,"good luck",,,
00:05:21.716,00:05:22.999,00:00:01.283,,"and we'll see you later",,,
00:05:26.400,00:05:26.800,00:00:00.400,,,"okay",,
00:05:31.000,00:05:33.000,00:00:02.000,,,,,"(inaudible)"
00:05:43.000,00:05:45.000,00:00:02.000,,,"(inaudible)",,
00:05:52.000,00:05:53.800,00:00:01.800,,,"all right okay",,
00:05:58.099,00:06:00.458,00:00:02.359,,,"I don't know I'm like",,
00:06:01.558,00:06:03.416,00:00:01.858,,,"there you go okay",,
00:06:08.200,00:06:09.908,00:00:01.708,,,,"try going the history",
00:06:15.569,00:06:17.202,00:00:01.633,,,,,"so erasing okay"
00:06:38.200,00:06:38.600,00:00:00.400,,,,,"all right"
00:06:58.291,00:07:01.099,00:00:02.808,,,,"no credit card required",
00:07:15.860,00:07:17.860,00:00:02.000,,,,,"(inaudible) oh man huh that's one"
00:07:29.164,00:07:32.341,00:00:03.177,,,,,"did you see a bracelet over here"
00:07:32.341,00:07:33.848,00:00:01.507,,,,,"no of course not"
00:07:52.620,00:07:54.594,00:00:01.974,,,,,"oh wait did we do it"
00:07:54.607,00:07:55.949,00:00:01.342,,,,,"I think so"
00:07:55.949,00:07:58.734,00:00:02.785,,,,,"oh we did it (laughter) all right"
00:07:58.759,00:07:59.734,00:00:00.975,,,,,"sorry about that"
00:08:02.016,00:08:06.800,00:00:04.784,,,,,"all right so wait you can now have twenty minutes to work there as many as"
00:08:06.800,00:08:08.100,00:00:01.300,,,,,"you as the tutee it means that tutor (inaudible)"
