"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 2","Experimenter","P1","P2"
00:00:00.500,00:00:08.300,00:00:07.800,,"just like last time try to stay (inaudible)",,,
00:00:08.600,00:00:15.600,00:00:07.000,,"is it really loud pause filler okay the time that you need",,,
00:00:14.395,00:00:15.522,00:00:01.127,,,,"okay so",
00:00:15.600,00:00:18.800,00:00:03.200,,"I just heard Michael talking (inaudible)",,,
00:00:17.978,00:00:18.315,00:00:00.337,,,,"hi (laughter)",
00:00:18.600,00:00:19.653,00:00:01.053,,,,,"yeah okay (laughter)"
00:00:18.800,00:00:20.500,00:00:01.700,,,"(inaudible) I'll come back in a few minutes",,
00:00:21.600,00:00:22.500,00:00:00.900,,,"(inaudible) here you go",,
00:00:22.431,00:00:23.600,00:00:01.169,,,,,"are you ready for algebra"
00:00:22.500,00:00:25.200,00:00:02.700,,,"okay so we're going to try to make sure our server is working (inaudible)",,
00:00:24.500,00:00:25.000,00:00:00.500,,,,"no",
00:00:31.500,00:00:32.500,00:00:01.000,,,,,"oh I'm so tired"
00:00:32.900,00:00:35.900,00:00:03.000,,,,"do you play soccer",
00:00:35.900,00:00:39.100,00:00:03.200,,,,,"yeah I just got back from practice"
00:00:40.900,00:00:42.772,00:00:01.872,,,,,"could you tell by the outfit"
00:00:42.900,00:00:43.352,00:00:00.452,,,,"yeah",
00:00:45.000,00:00:47.500,00:00:02.500,,,,,"yeah do you play any sports"
00:00:48.200,00:00:50.300,00:00:02.100,,,,"I used to play soccer but now I don't",
00:00:52.300,00:00:53.080,00:00:00.780,,,,,"yeah"
00:00:57.900,00:00:59.300,00:00:01.400,,,,,"are you ready to be the tutor"
00:01:00.400,00:01:00.860,00:00:00.460,,,,"no",
00:01:02.200,00:01:04.800,00:00:02.600,,,,,"did you get the paper did you understand it"
00:01:05.500,00:01:07.300,00:00:01.800,,,,"no I didn't",
00:01:08.700,00:01:10.000,00:00:01.300,,,,,"like I kind of get it"
00:01:10.000,00:01:16.300,00:00:06.300,,,,,"but like the fraction is like sort of (inaudible) but like yeah (sfx)"
