"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","Experimenter 2","P1","P2","Experimenter"
00:00:01.700,00:00:02.900,00:00:01.200,,"pause filler calibrate pause filler these with our server",,,,
00:00:03.200,00:00:07.500,00:00:04.300,,"so you go ahead and pause filler talk to each other introduce yourself",,,,
00:00:04.400,00:00:04.690,00:00:00.290,,,,"what?",,
00:00:05.400,00:00:05.910,00:00:00.510,,,,"yeah",,
00:00:07.500,00:00:08.200,00:00:00.700,,"get to know each other",,,,
00:00:08.400,00:00:09.800,00:00:01.400,,"and I'll be back in a few minutes",,,,
00:00:09.800,00:00:12.400,00:00:02.600,,"be in other room and calibrate and then there we go",,,,
00:00:12.400,00:00:19.200,00:00:06.800,,"just make sure that pause filler you're just both on the screen",,,,
00:00:19.200,00:00:21.500,00:00:02.300,,"well I'll be back in about five minutes",,,,
00:00:21.500,00:00:23.400,00:00:01.900,,,"you can hear them",,,
00:00:26.400,00:00:28.900,00:00:02.500,,,,"alright so hi I'm Joey",,
00:00:26.500,00:00:27.700,00:00:01.200,,,"you can hear them",,,
00:00:28.100,00:00:28.800,00:00:00.700,,,"all right awesome",,,
00:00:28.800,00:00:31.800,00:00:03.000,,,"introduce each other and just like be right back",,,
00:00:29.600,00:00:30.380,00:00:00.780,,,,,"I'm Tyler",
00:00:30.900,00:00:31.700,00:00:00.800,,,,"nice to meet you",,
00:00:32.150,00:00:33.000,00:00:00.850,,,,,"nice to meet you too",
00:00:33.530,00:00:35.600,00:00:02.070,,,,"so pause filler how old are you",,
00:00:35.600,00:00:36.400,00:00:00.800,,,,"what grade are you in",,
00:00:37.480,00:00:38.550,00:00:01.070,,,,,"ninth and I'm fifteen",
00:00:39.000,00:00:39.660,00:00:00.660,,,,"awesome",,
00:00:42.000,00:00:46.800,00:00:04.800,,,,"okay so pause filler where do you go to school",,
00:00:47.300,00:00:47.900,00:00:00.600,,,,,"Brashear",
00:00:47.900,00:00:53.600,00:00:05.700,,,,"oh fine yeah I'm actually also ninth grade",,
00:00:53.600,00:00:54.700,00:00:01.100,,,,"I go to Dice",,
00:00:54.700,00:00:56.800,00:00:02.100,,,,,"do you know Michael Baldwin",
00:00:57.500,00:00:59.460,00:00:01.960,,,,"I don't think so",,
00:01:01.600,00:01:03.300,00:00:01.700,,,,"I don't know a ton of people",,
00:01:06.380,00:01:07.000,00:00:00.620,,,,"yeah",,
00:01:08.000,00:01:13.000,00:00:05.000,,,,"so how did you get into this program",,
00:01:14.000,00:01:15.000,00:00:01.000,,,,,"(inaudible)",
00:01:17.890,00:01:18.410,00:00:00.520,,,,"same",,
00:01:27.000,00:01:27.800,00:00:00.800,,,,,"I'm tired",
00:01:28.000,00:01:28.800,00:00:00.800,,,,"uh-huh",,
00:01:30.480,00:01:31.010,00:00:00.530,,,,"well",,
00:01:32.100,00:01:33.900,00:00:01.800,,,,"oh oh not much we can do I mean",,
00:01:35.960,00:01:36.310,00:00:00.350,,,,"yeah",,
00:01:38.100,00:01:40.900,00:00:02.800,,,,"sleep is something good to get",,
00:01:40.900,00:01:41.400,00:00:00.500,,,,"I don't know",,
00:01:43.400,00:01:47.000,00:00:03.600,,,,"I'm usually tired almost every day",,
00:01:47.200,00:01:48.400,00:00:01.200,,,,"it's what high school does",,
00:01:59.000,00:02:02.100,00:00:03.100,,,,"are we supposed to start",,
00:02:02.100,00:02:03.600,00:00:01.500,,,,"or we're just waiting for it",,
00:02:04.000,00:02:06.000,00:00:02.000,,,,,"(inaudible)",
00:02:06.300,00:02:07.100,00:00:00.800,,,,"okay (inaudible)",,
00:03:55.800,00:03:57.200,00:00:01.400,,,,,"I don't know (inaudible)",
