"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","Experimenter 2","P2","P1"
00:00:00.142,00:00:02.926,00:00:02.784,,"all righty thank you",,,
00:00:02.926,00:00:03.415,00:00:00.489,,,"okay yeah",,
00:00:03.415,00:00:03.764,00:00:00.349,,"all good well (inaudible)",,,
00:00:03.764,00:00:51.406,00:00:47.642,,"yeah I want to calibrate a few more minute pause filler give us",,,
00:00:51.934,00:00:54.578,00:00:02.644,,,"all right cool",,
00:00:54.828,00:00:56.055,00:00:01.227,,,"I'll introduce you",,
00:00:56.055,00:01:00.744,00:00:04.689,,,"and then we'll get started",,
00:01:01.373,00:01:03.598,00:00:02.225,,,"yeah I want to calibrate (inaudible)",,
00:01:04.087,00:01:05.434,00:00:01.347,,,"you can stop",,
00:01:05.434,00:01:13.166,00:00:07.732,,,"oh you're right it wouldn't stop go",,
00:01:13.446,00:01:15.261,00:00:01.815,,,"and then (inaudible)",,
00:01:15.261,00:01:18.644,00:00:03.383,,,"we're going to calibrate pause filler",,
00:01:19.153,00:01:24.461,00:00:05.308,,,"give us a few more minutes",,
00:01:28.030,00:01:31.824,00:00:03.794,,,,"I hope we do know we got like 42 minutes like",
00:01:35.266,00:01:35.720,00:00:00.454,,,,,"yeah I hope"
00:01:35.720,00:01:36.810,00:00:01.090,,,,,"we'll just have to work quickly"
00:01:37.440,00:01:39.304,00:00:01.864,,,,"last time we limit to what we're saying",
00:01:39.759,00:01:45.645,00:00:05.886,,,,,"yeah well I don't know my computer kind of froze and died"
00:01:46.545,00:01:50.190,00:00:03.645,,,,,"so we'll just have to wait for it to fix itself"
00:02:02.445,00:02:04.781,00:00:02.336,,,,,"also we got here or at least I got here a little late"
00:02:07.573,00:02:10.586,00:00:03.013,,,,"and they said an hour right",
00:02:11.633,00:02:11.843,00:00:00.210,,,,,"yup"
00:02:13.300,00:02:15.217,00:00:01.917,,,,"we got here a little late last time",
00:02:15.231,00:02:17.913,00:00:02.682,,,,"and we still left (inaudible)",
