,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,4,1,00:00:13.290,00:00:13.660,00:00:00.370,what,
1,4,1,00:08:51.580,00:08:52.000,00:00:00.420,,alright
2,4,1,00:10:05.925,00:10:07.641,00:00:01.716,so there's one on every page,
3,4,1,00:10:08.300,00:10:11.732,00:00:03.432,so I just go to there to go to the next problem,
4,4,1,00:10:12.032,00:10:14.227,00:00:02.195,and they work they do the problem,
5,4,1,00:11:44.542,00:11:45.768,00:00:01.226,you can start,
6,4,1,00:11:45.888,00:12:00.904,00:00:15.016,,okay so pause filler all right this thing's weird to control pause filler
7,4,1,00:12:25.029,00:12:29.679,00:00:04.650,,so is this how pause filler to start the equation
8,4,1,00:12:37.518,00:12:39.696,00:00:02.178,yeah so then the sixes cancel out,
9,4,1,00:12:39.925,00:12:40.065,00:00:00.140,,yeah
10,4,1,00:12:40.115,00:12:42.230,00:00:02.115,and then you add thirteen to six,
11,4,1,00:12:42.809,00:12:47.259,00:00:04.450,,yeah okay so you get x equals pause filler nineteen
12,4,1,00:12:47.000,00:12:48.000,00:00:01.000,pause filler,
13,4,1,00:12:53.737,00:12:57.236,00:00:03.499,,all right so fifteen equals negative eight plus p
14,4,1,00:13:00.026,00:13:01.047,00:00:01.021,,so you have fifteen
15,4,1,00:13:02.315,00:13:03.422,00:00:01.107,,and then you add eight
16,4,1,00:13:03.422,00:13:06.984,00:00:03.562,,because you undo the eights correct okay
17,4,1,00:13:07.054,00:13:07.283,00:00:00.229,yeah,
18,4,1,00:13:20.861,00:13:22.399,00:00:01.538,,and so the eights cancel out
19,4,1,00:13:22.688,00:13:24.105,00:00:01.417,,and then you get fifteen plus eight
20,4,1,00:13:24.324,00:13:29.832,00:00:05.508,,pause filler you get twenty-three
21,4,1,00:13:31.159,00:13:31.378,00:00:00.219,yeah,
22,4,1,00:13:31.688,00:13:44.229,00:00:12.541,,equals p okay all right so this problem works the same as everything else
23,4,1,00:13:44.898,00:13:45.227,00:00:00.329,pause filler yeah,
24,4,1,00:13:45.227,00:13:50.834,00:00:05.607,,okay so you use thirteen minus eleven
25,4,1,00:14:00.901,00:14:05.571,00:00:04.670,,seventeen minus eleven is six equals k
26,4,1,00:14:16.027,00:14:20.108,00:00:04.081,,so for this problem you would divide out the forty-four
27,4,1,00:14:20.477,00:14:20.796,00:00:00.319,yeah,
28,4,1,00:14:20.980,00:14:21.360,00:00:00.380,,okay
29,4,1,00:14:53.786,00:14:56.000,00:00:02.214,,forty-five so
30,4,1,00:15:00.900,00:15:05.584,00:00:04.684,,I have five because twenty two hundred twenty divided by forty-four is five
31,4,1,00:15:06.203,00:15:06.542,00:00:00.339,yeah,
32,4,1,00:15:11.870,00:15:13.579,00:00:01.709,,negative nine plus thirteen p 
33,4,1,00:15:46.350,00:15:47.070,00:00:00.720,,fifty
34,4,1,00:15:47.938,00:15:48.547,00:00:00.609,fifty,
35,4,1,00:15:48.826,00:15:55.266,00:00:06.440,,yeah so p equals fifty thirteenths 
36,4,1,00:16:23.849,00:16:38.543,00:00:14.694,,twenty twenty-four over six over six equals pause filler four okay
37,4,1,00:17:10.200,00:17:13.603,00:00:03.403,,forty plus twenty-two is sixty-two
38,4,1,00:17:12.000,00:17:13.000,00:00:01.000,pause filler,
39,4,1,00:17:24.000,00:17:31.000,00:00:07.000,,yeah sixty-two fifteenths equals k 
40,4,1,00:18:13.690,00:18:14.140,00:00:00.450,,yeah
41,4,1,00:18:14.417,00:18:15.173,00:00:00.756,yeah that's right,
42,4,1,00:18:15.403,00:18:18.985,00:00:03.582,,okay so they pretty much follow the same rules of just going
43,4,1,00:18:19.783,00:18:20.122,00:00:00.339,yeah,
44,4,1,00:18:20.242,00:18:20.608,00:00:00.366,,yeah all right so
45,4,1,00:18:25.310,00:18:26.190,00:00:00.880,,alright so
46,4,1,00:18:27.456,00:18:34.120,00:00:06.664,okay so what you do is you subtract this p,
47,4,1,00:18:34.819,00:18:35.228,00:00:00.409,,pause filler okay
48,4,1,00:18:35.487,00:18:36.854,00:00:01.367,pause filler from this p,
49,4,1,00:18:37.084,00:18:39.957,00:00:02.873,,okay so you want all the variables on one side
50,4,1,00:18:39.957,00:18:41.400,00:00:01.443,,and then you get the equation
51,4,1,00:18:59.173,00:18:59.364,00:00:00.191,,nope
52,4,1,00:19:06.530,00:19:11.720,00:00:05.190,,so you get fifteen equals four p
53,4,1,00:19:12.932,00:19:16.194,00:00:03.262,one two p because you're subtracting,
54,4,1,00:19:15.820,00:19:16.750,00:00:00.930,,oh okay thank you
55,4,1,00:19:24.542,00:19:26.391,00:00:01.849,,three because you subtract twelve
56,4,1,00:19:27.230,00:19:35.271,00:00:08.041,,and then you get three equals two p or one-point-five equals p
57,4,1,00:19:36.798,00:19:37.267,00:00:00.469,yup,
58,4,1,00:19:42.066,00:19:43.822,00:00:01.756,,you get pause filler k
59,4,1,00:19:43.822,00:19:48.222,00:00:04.400,,you'd subtract the k to get seven k
60,4,1,00:19:49.050,00:19:49.240,00:00:00.190,no,
61,4,1,00:19:50.068,00:19:50.247,00:00:00.179,,right
62,4,1,00:19:50.247,00:19:53.430,00:00:03.183,this the eight k would become the seven k,
63,4,1,00:19:53.550,00:19:56.363,00:00:02.813,,yeah and that equals ten
64,4,1,00:19:57.132,00:19:57.471,00:00:00.339,yeah,
65,4,1,00:19:57.621,00:20:00.594,00:00:02.973,,negative ten negative ten because there's a subtraction sign there
66,4,1,00:20:00.993,00:20:03.936,00:00:02.943,,then you add the sixty-eight to get
67,4,1,00:20:04.695,00:20:09.005,00:00:04.310,,pause filler seven k equals seventy-eight
68,4,1,00:20:10.412,00:20:17.635,00:00:07.223,,and then you get k equals pause filler seventy-eight sevenths
69,4,1,00:20:20.571,00:20:22.664,00:00:02.093,,that may or may not be reducible
70,4,1,00:20:22.664,00:20:24.579,00:00:01.915,,but that is the answer
71,4,1,00:20:24.968,00:20:25.348,00:00:00.380,yeah,
72,4,1,00:20:29.588,00:20:30.240,00:00:00.652,,okay
73,4,1,00:20:35.740,00:20:37.420,00:00:01.680,,do you have any idea where they are
74,4,1,00:20:38.228,00:20:38.897,00:00:00.669,nope,
75,4,1,00:20:39.226,00:20:40.012,00:00:00.786,,okay then
76,4,1,00:20:47.870,00:20:49.910,00:00:02.040,,they're somewhere near where I am
77,4,1,00:21:24.922,00:21:25.062,00:00:00.140,,what
78,4,1,00:21:26.566,00:21:27.941,00:00:01.375,,okay
79,4,1,00:21:32.086,00:21:32.146,00:00:00.060,yeah,
80,4,1,00:21:44.568,00:21:47.032,00:00:02.464,,all right so you have pause filler
81,4,1,00:21:47.381,00:21:50.384,00:00:03.003,,you subtract the r
82,4,1,00:21:50.384,00:21:52.619,00:00:02.235,,pause filler so you're left with one r
83,4,1,00:21:52.619,00:22:00.242,00:00:07.623,,so you get negative thirty-three equals pause filler r minus fifteen
84,4,1,00:22:00.841,00:22:03.275,00:00:02.434,,you add fifteen to both sides
85,4,1,00:22:05.041,00:22:12.000,00:00:06.959,,so you get pause filler negative thirty-three plus fifteen is negative twenty pause filler eighteen
86,4,1,00:22:16.075,00:22:17.236,00:00:01.161,,you have eighteen
87,4,1,00:22:20.636,00:22:20.994,00:00:00.358,yes,
88,4,1,00:22:21.050,00:22:23.480,00:00:02.430,,okay so yeah negative fifteen equals r
89,4,1,00:22:30.849,00:22:33.796,00:00:02.947,okay so it's the same thing,
90,4,1,00:22:34.235,00:22:37.557,00:00:03.322,,yeah okay so you subtract u
