,Dyad,Session,Temps de départ - hh:mm:ss.ms,temps de fin - hh:mm:ss.ms,Durée - hh:mm:ss.ms,P1,P2
0,4,2,00:00:17.354,00:00:18.226,00:00:00.872,okay yup,
1,4,2,00:00:49.166,00:00:52.506,00:00:03.340,okay okay,
2,4,2,00:00:54.233,00:00:54.680,00:00:00.447,okay,
3,4,2,00:07:03.326,00:07:03.786,00:00:00.460,that's okay,
4,4,2,00:07:20.517,00:07:22.262,00:00:01.745,,mm-hmm I can hear
5,4,2,00:07:29.398,00:07:29.593,00:00:00.195,,yeah
6,4,2,00:07:45.718,00:07:45.888,00:00:00.170,okay,
7,4,2,00:08:18.936,00:08:19.343,00:00:00.407,okay then,
8,4,2,00:08:21.413,00:08:24.509,00:00:03.096,so pause filler okay yeah,
9,4,2,00:08:27.006,00:08:31.000,00:00:03.994,pause filler you would divide by three sevenths,
10,4,2,00:08:36.025,00:08:36.770,00:00:00.745,,pause filler
11,4,2,00:08:41.030,00:08:42.573,00:00:01.543,,pause filler multiply by seven-thirds
12,4,2,00:08:43.733,00:08:45.980,00:00:02.247,yeah so multiply by the seven thirds,
13,4,2,00:08:46.235,00:08:49.121,00:00:02.886,pause filler divide by three sevenths,
14,4,2,00:08:50.369,00:08:55.452,00:00:05.083,pause filler forty so x equals forty times seven thirds,
15,4,2,00:08:55.566,00:08:56.057,00:00:00.491,pause filler forty times seven is pause filler two hundred eighty,
16,4,2,00:08:57.044,00:08:58.636,00:00:01.592,forty times seven is,
17,4,2,00:08:59.299,00:09:01.222,00:00:01.923,pause filler forty times seven is pause filler two hundred eighty,
18,4,2,00:09:01.331,00:09:02.242,00:00:00.911,divided by three,
19,4,2,00:09:03.662,00:09:04.992,00:00:01.330,two hundred eighty thirds,
20,4,2,00:09:15.081,00:09:15.861,00:00:00.780,,yeah that's right
21,4,2,00:09:16.401,00:09:16.635,00:00:00.234,yeah,
22,4,2,00:09:21.461,00:09:22.366,00:00:00.905,fourteen equals,
23,4,2,00:09:22.366,00:09:22.494,00:00:00.128,okay,
24,4,2,00:09:24.323,00:09:32.929,00:00:08.606,times eight thirds,
25,4,2,00:09:34.204,00:09:37.897,00:00:03.693,okay pause filler fourteen times eight is eighty,
26,4,2,00:09:38.386,00:09:41.335,00:00:02.949,plus thirty-two,
27,4,2,00:09:41.335,00:09:42.744,00:00:01.409,so a hundred twelve,
28,4,2,00:09:44.424,00:09:44.624,00:00:00.200,,yeah
29,4,2,00:09:45.146,00:09:45.333,00:00:00.187,okay,
30,4,2,00:09:46.610,00:09:50.740,00:00:04.130,and twelve thirds equals okay,
31,4,2,00:09:57.858,00:09:58.242,00:00:00.384,all right,
32,4,2,00:09:59.836,00:10:00.683,00:00:00.847,negative two-thirds,
33,4,2,00:10:08.377,00:10:10.564,00:00:02.187,pause filler you add eighteen you add eighteen,
34,4,2,00:10:10.598,00:10:12.355,00:00:01.757,you get sixty seventy,
35,4,2,00:10:17.902,00:10:18.867,00:00:00.965,pause filler and now you have two thirds,
36,4,2,00:10:18.875,00:10:25.326,00:00:06.451,so times y equals negative one,
37,4,2,00:10:30.112,00:10:30.622,00:00:00.510,,that's good
38,4,2,00:10:36.952,00:10:51.047,00:00:14.095,(inaudible) fifty-seven,
39,4,2,00:11:07.095,00:11:12.827,00:00:05.732,pause filler yeah I think it's a hundred and fourteen,
40,4,2,00:11:16.066,00:11:16.355,00:00:00.289,,yeah
41,4,2,00:11:21.938,00:11:24.555,00:00:02.617,okay thirty-one equals,
42,4,2,00:11:27.098,00:11:27.851,00:00:00.753,add sixteen,
43,4,2,00:11:27.851,00:11:30.827,00:00:02.976,you got forty fourty seven,
44,4,2,00:11:40.419,00:11:41.229,00:00:00.810,multiply it by two,
45,4,2,00:11:41.238,00:11:42.238,00:00:01.000,you get eighty,
