,Dyad,Session,Temps de départ - hh:mm:ss.ms,temps de fin - hh:mm:ss.ms,Durée - hh:mm:ss.ms,P1,P2
0,7,1,00:00:07.177,00:00:07.746,00:00:00.569,,okay okay
1,7,1,00:00:11.700,00:00:13.200,00:00:01.500,,okay hi
2,7,1,00:00:14.008,00:00:14.620,00:00:00.612,hi,
3,7,1,00:00:15.600,00:00:17.000,00:00:01.400,,pause filler what's your name
4,7,1,00:00:17.300,00:00:17.700,00:00:00.400,Maya,
5,7,1,00:00:17.700,00:00:18.500,00:00:00.800,what's yours,
6,7,1,00:00:18.800,00:00:19.500,00:00:00.700,,Maddie
7,7,1,00:00:20.100,00:00:22.000,00:00:01.900,,yeah where do you go to school
8,7,1,00:00:22.500,00:00:24.632,00:00:02.132,I go to (inaudible),
9,7,1,00:00:25.466,00:00:27.891,00:00:02.425,,I go to CAPA yeah
10,7,1,00:00:28.329,00:00:29.050,00:00:00.721,,what grade are you in
11,7,1,00:00:29.500,00:00:30.291,00:00:00.791,I'm in seventh,
12,7,1,00:00:31.100,00:00:31.607,00:00:00.507,,same
13,7,1,00:00:32.800,00:00:34.100,00:00:01.300,,do you like algebra
14,7,1,00:00:34.800,00:00:35.300,00:00:00.500,nope,
15,7,1,00:00:35.800,00:00:36.300,00:00:00.500,,same
16,7,1,00:00:36.300,00:00:37.506,00:00:01.206,,I hate it
17,7,1,00:00:37.506,00:00:44.113,00:00:06.607,,(laughter) yup but yeah but do you have to take keystones
18,7,1,00:00:44.391,00:00:44.991,00:00:00.600,uh-uh,
19,7,1,00:00:45.099,00:00:49.379,00:00:04.280,,no well I have to take the keystones at the end of the year for algebra
20,7,1,00:00:50.400,00:00:55.700,00:00:05.300,,and I'm probably going to fail it (laughter) because like I am not good at algebra
21,7,1,00:00:55.700,00:00:57.400,00:00:01.700,,but you know I'll try
22,7,1,00:00:58.366,00:00:58.766,00:00:00.400,yeah,
23,7,1,00:00:58.400,00:00:59.300,00:00:00.900,,yeah
24,7,1,00:01:10.799,00:01:11.733,00:00:00.934,so how old are you,
25,7,1,00:01:12.400,00:01:13.400,00:00:01.000,,I'm twelve
26,7,1,00:01:13.600,00:01:17.500,00:00:03.900,,I'm almost thirteen though because my birthday is tomorrow so yeah
27,7,1,00:01:19.200,00:01:20.000,00:00:00.800,,how about you
28,7,1,00:01:20.924,00:01:23.441,00:00:02.517,I'm turning thirteen pause filler on the thirtieth,
29,7,1,00:01:25.100,00:01:27.300,00:00:02.200,,oh of April
30,7,1,00:01:28.000,00:01:28.200,00:00:00.200,yeah,
31,7,1,00:01:28.200,00:01:29.900,00:00:01.700,,oh that's my friend's birthday yeah
32,7,1,00:01:30.500,00:01:31.400,00:00:00.900,that's cool,
33,7,1,00:01:31.500,00:01:33.700,00:00:02.200,,yeah mm-hmm yeah
34,7,1,00:01:36.449,00:01:40.841,00:00:04.392,so what's your worst subject do you think in school,
35,7,1,00:01:40.799,00:01:41.999,00:00:01.200,,probably algebra (laughter)
36,7,1,00:01:43.083,00:01:44.300,00:00:01.217,mine's history,
37,7,1,00:01:44.300,00:01:45.700,00:00:01.400,,oh yeah mm-hmm
38,7,1,00:01:47.541,00:01:49.899,00:00:02.358,,do you know what's your favorite subject
39,7,1,00:01:50.300,00:01:53.100,00:00:02.800,pause filler not Spanish that's for sure,
40,7,1,00:01:53.100,00:01:56.700,00:00:03.600,,oh I don't have yeah that's probably science yeah
41,7,1,00:01:56.700,00:01:57.600,00:00:00.900,,but I don't
42,7,1,00:01:57.600,00:01:59.600,00:00:02.000,,yeah we don't have languages at our school
43,7,1,00:01:59.600,00:02:00.000,00:00:00.400,,it's weird
44,7,1,00:02:00.000,00:02:02.200,00:00:02.200,,only in high school yeah
45,7,1,00:02:03.700,00:02:04.700,00:00:01.000,you're lucky,
46,7,1,00:02:05.500,00:02:06.800,00:00:01.300,,oh is it bad
47,7,1,00:02:07.200,00:02:09.100,00:00:01.900,yeah my teacher just talks,
48,7,1,00:02:09.100,00:02:11.100,00:00:02.000,and she doesn't like let us do work,
49,7,1,00:02:11.100,00:02:13.202,00:00:02.102,she just rambles on,
50,7,1,00:02:13.443,00:02:16.848,00:00:03.405,,mm-hmm we have so many crazy teachers that's why
51,7,1,00:02:19.300,00:02:22.700,00:00:03.400,,yeah like our algebra teacher
52,7,1,00:02:22.700,00:02:23.400,00:00:00.700,,oh my god
53,7,1,00:02:23.400,00:02:24.600,00:00:01.200,,he's terrible
54,7,1,00:02:26.696,00:02:33.405,00:00:06.709,,he's like (sfx) yeah (sfx)
55,7,1,00:02:44.392,00:02:46.050,00:00:01.658,,and they want to start
56,7,1,00:02:47.037,00:02:47.810,00:00:00.773,me too,
57,7,1,00:02:47.721,00:02:50.215,00:00:02.494,,yeah I hope it's not too hard though
58,7,1,00:02:50.645,00:02:51.189,00:00:00.544,yeah,
59,7,1,00:02:51.468,00:02:52.900,00:00:01.432,,it's probably going to be like hard
60,7,1,00:02:52.900,00:02:57.000,00:00:04.100,,and I'm not going to like get it but (laughter) yeah
61,7,1,00:03:01.758,00:03:05.008,00:00:03.250,there is food in this room,
62,7,1,00:03:05.000,00:03:05.400,00:00:00.400,,same
63,7,1,00:03:05.400,00:03:07.300,00:00:01.900,,there is a fridge here
64,7,1,00:03:07.400,00:03:09.808,00:00:02.408,,it's like I'm going to get it I'll go get the food
65,7,1,00:03:09.866,00:03:10.066,00:00:00.200,yeah,
66,7,1,00:03:11.891,00:03:20.508,00:00:08.617,,mm-hmm yeah and there's like whiteboard all around here with like stuff all on it like that I don't understand
67,7,1,00:03:20.700,00:03:27.000,00:00:06.300,,it's like what's for like it's actually it's for like (inaudible)
68,7,1,00:03:27.700,00:03:31.100,00:00:03.400,yeah I have a TV in this room,
69,7,1,00:03:31.100,00:03:32.400,00:00:01.300,,oh really yeah that's like
70,7,1,00:03:32.400,00:03:32.600,00:00:00.200,yeah,
71,7,1,00:03:32.600,00:03:39.900,00:00:07.300,,yeah that seems like sort of like a laundry room because there's like kitchen and cabinet stuff and
72,7,1,00:03:40.200,00:03:40.700,00:00:00.500,yeah,
73,7,1,00:03:40.700,00:03:42.800,00:00:02.100,,yeah like a meeting room
74,7,1,00:03:42.900,00:03:45.500,00:00:02.600,,I don't know yeah
75,7,1,00:03:47.900,00:03:52.200,00:00:04.300,,and then like outside there there's like Legos and like baby toys
76,7,1,00:03:52.200,00:03:58.600,00:00:06.400,,(laughter) I don't know why it's like there's like a dollhouse
77,7,1,00:03:59.900,00:04:00.900,00:00:01.000,that's weird,
78,7,1,00:04:00.900,00:04:01.400,00:00:00.500,,yeah
79,7,1,00:04:03.600,00:04:06.300,00:00:02.700,I have no dollhouses in here,
80,7,1,00:04:07.100,00:04:07.500,00:00:00.400,,yeah
81,7,1,00:04:09.874,00:04:11.233,00:00:01.359,I do have doughnuts,
82,7,1,00:04:11.400,00:04:13.700,00:00:02.300,,oh there's like
83,7,1,00:04:13.700,00:04:26.874,00:00:13.174,,pause filler yeah so if there's anything else exciting about this room
84,7,1,00:04:27.024,00:04:35.624,00:00:08.600,,but there's like pause filler
85,7,1,00:04:39.500,00:04:41.900,00:00:02.400,there's two windows in this room,
86,7,1,00:04:41.900,00:04:43.300,00:00:01.400,and I just keep on looking out,
87,7,1,00:04:43.300,00:04:46.400,00:00:03.100,and there's like a whole bunch of people passing back and forth,
88,7,1,00:04:46.600,00:04:50.100,00:00:03.500,,yeah there's like another room on the outside of here too I can see
89,7,1,00:04:50.100,00:04:53.500,00:00:03.400,,and there's like a bunch of people like working it's like
90,7,1,00:04:53.500,00:04:58.000,00:00:04.500,,oh he's coming pause filler all right
91,7,1,00:05:05.800,00:05:06.900,00:00:01.100,,all right
92,7,1,00:05:26.400,00:05:26.800,00:00:00.400,,okay
93,7,1,00:05:43.000,00:05:45.000,00:00:02.000,,(inaudible)
94,7,1,00:05:52.000,00:05:53.800,00:00:01.800,,all right okay
95,7,1,00:05:58.099,00:06:00.458,00:00:02.359,,I don't know I'm like
96,7,1,00:06:01.558,00:06:03.416,00:00:01.858,,there you go okay
97,7,1,00:06:08.200,00:06:09.908,00:00:01.708,try going the history,
98,7,1,00:06:58.291,00:07:01.099,00:00:02.808,no credit card required,
99,7,1,00:08:32.000,00:08:33.000,00:00:01.000,,all right (laughter)
100,7,1,00:08:34.916,00:08:37.708,00:00:02.792,this is very confusing,
101,7,1,00:08:38.400,00:08:41.100,00:00:02.700,,they just like tried to do it I guess
102,7,1,00:08:41.100,00:08:44.500,00:00:03.400,yeah I guess so,
103,7,1,00:08:45.300,00:08:46.300,00:00:01.000,,okay so
104,7,1,00:08:47.983,00:08:51.300,00:00:03.317,so first what you want to do is,
105,7,1,00:08:53.674,00:08:56.300,00:00:02.626,this is hard because I can't do the problem for you,
106,7,1,00:08:56.300,00:08:58.100,00:00:01.800,but I have to explain it,
107,7,1,00:08:58.100,00:09:01.900,00:00:03.800,,yeah okay so I think it says to add six right
108,7,1,00:09:02.158,00:09:02.491,00:00:00.333,yeah,
109,7,1,00:09:03.000,00:09:04.000,00:00:01.000,,so I guess I'll write that
110,7,1,00:09:06.300,00:09:08.449,00:00:02.149,,(laughter) it's like really big
111,7,1,00:09:09.400,00:09:13.600,00:00:04.200,,okay plus oh just like they're like so then
112,7,1,00:09:13.700,00:09:14.300,00:00:00.600,,oh my god
113,7,1,00:09:14.300,00:09:17.300,00:00:03.000,,okay that's x equals
114,7,1,00:09:18.300,00:09:22.800,00:00:04.500,,and then thirteen plus six is six seven okay eighteen
115,7,1,00:09:24.900,00:09:26.600,00:00:01.700,,no it's nineteen
116,7,1,00:09:27.800,00:09:30.700,00:00:02.900,,wait why am I okay
117,7,1,00:09:34.633,00:09:35.900,00:00:01.267,,how do you delete it okay
118,7,1,00:09:36.000,00:09:38.600,00:00:02.600,you have to do the back arrow,
119,7,1,00:09:39.600,00:09:41.300,00:00:01.700,,how do you
120,7,1,00:09:42.108,00:09:43.874,00:00:01.766,yes it's very confusing,
121,7,1,00:09:50.700,00:09:51.200,00:00:00.500,,I'm just like
122,7,1,00:09:52.466,00:09:53.991,00:00:01.525,why wouldn't it work,
123,7,1,00:09:57.200,00:10:00.000,00:00:02.800,,oh oh it's working
124,7,1,00:10:00.000,00:10:01.800,00:00:01.800,,wait oh oh oh
125,7,1,00:10:02.400,00:10:02.900,00:00:00.500,,yay
126,7,1,00:10:02.900,00:10:04.600,00:00:01.700,,oh no there are like dots okay
127,7,1,00:10:06.200,00:10:12.983,00:00:06.783,,so all right add six to each side
128,7,1,00:10:14.716,00:10:20.699,00:00:05.983,,and that's x equals
129,7,1,00:10:21.900,00:10:24.400,00:00:02.500,,and then three plus six nineteen
130,7,1,00:10:25.700,00:10:26.500,00:00:00.800,,oh okay
131,7,1,00:10:28.100,00:10:32.600,00:00:04.500,,so it's probably right I guess because x equals nineteen now
132,7,1,00:10:32.208,00:10:33.741,00:00:01.533,yeah I guess so,
133,7,1,00:10:35.900,00:10:38.900,00:00:03.000,,yeah all right how do you go to the next one
134,7,1,00:10:39.591,00:10:40.691,00:00:01.100,,do you know
135,7,1,00:10:40.600,00:10:41.900,00:00:01.300,yes,
136,7,1,00:10:43.300,00:10:44.800,00:00:01.500,,all right oh okay
137,7,1,00:10:46.200,00:10:47.800,00:00:01.600,so now it's your turn,
138,7,1,00:10:48.600,00:10:49.400,00:00:00.800,,okay
139,7,1,00:10:51.500,00:10:58.600,00:00:07.100,so pause filler I guess I do seven no eleven,
