,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,8,1,00:00:04.400,00:00:04.690,00:00:00.290,what?,
1,8,1,00:00:05.400,00:00:05.910,00:00:00.510,yeah,
2,8,1,00:00:26.400,00:00:28.900,00:00:02.500,alright so hi I'm Joey,
3,8,1,00:00:29.600,00:00:30.380,00:00:00.780,,I'm Tyler
4,8,1,00:00:30.900,00:00:31.700,00:00:00.800,nice to meet you,
5,8,1,00:00:32.150,00:00:33.000,00:00:00.850,,nice to meet you too
6,8,1,00:00:33.530,00:00:35.600,00:00:02.070,so pause filler how old are you,
7,8,1,00:00:35.600,00:00:36.400,00:00:00.800,what grade are you in,
8,8,1,00:00:37.480,00:00:38.550,00:00:01.070,,ninth and I'm fifteen
9,8,1,00:00:39.000,00:00:39.660,00:00:00.660,awesome,
10,8,1,00:00:42.000,00:00:46.800,00:00:04.800,okay so pause filler where do you go to school,
11,8,1,00:00:47.300,00:00:47.900,00:00:00.600,,Brashear
12,8,1,00:00:47.900,00:00:53.600,00:00:05.700,oh fine yeah I'm actually also ninth grade,
13,8,1,00:00:53.600,00:00:54.700,00:00:01.100,I go to Dice,
14,8,1,00:00:54.700,00:00:56.800,00:00:02.100,,do you know Michael Baldwin
15,8,1,00:00:57.500,00:00:59.460,00:00:01.960,I don't think so,
16,8,1,00:01:01.600,00:01:03.300,00:00:01.700,I don't know a ton of people,
17,8,1,00:01:06.380,00:01:07.000,00:00:00.620,yeah,
18,8,1,00:01:08.000,00:01:13.000,00:00:05.000,so how did you get into this program,
19,8,1,00:01:14.000,00:01:15.000,00:00:01.000,,(inaudible)
20,8,1,00:01:17.890,00:01:18.410,00:00:00.520,same,
21,8,1,00:01:27.000,00:01:27.800,00:00:00.800,,I'm tired
22,8,1,00:01:28.000,00:01:28.800,00:00:00.800,uh-huh,
23,8,1,00:01:30.480,00:01:31.010,00:00:00.530,well,
24,8,1,00:01:32.100,00:01:33.900,00:00:01.800,oh oh not much we can do I mean,
25,8,1,00:01:35.960,00:01:36.310,00:00:00.350,yeah,
26,8,1,00:01:38.100,00:01:40.900,00:00:02.800,sleep is something good to get,
27,8,1,00:01:40.900,00:01:41.400,00:00:00.500,I don't know,
28,8,1,00:01:43.400,00:01:47.000,00:00:03.600,I'm usually tired almost every day,
