,Dyad,Session,Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,P1,P2
0,11,2,00:01:12.080,00:01:13.740,00:00:01.660,,yup so I guess they'll be back again
1,11,2,00:01:14.405,00:01:14.905,00:00:00.500,yeah,
2,11,2,00:01:15.580,00:01:20.430,00:00:04.850,seems like this can be a little bit more of a challenge this time yeah seems like this can be a little bit more of a challenge this time,
3,11,2,00:01:21.400,00:01:22.990,00:00:01.590,,yeah they added multiplication (sfx)
4,11,2,00:01:26.730,00:01:29.380,00:00:02.650,yeah wait I think they had multiplication last time,
5,11,2,00:01:30.110,00:01:31.490,00:00:01.380,,not with the variable (inaudible) variable
6,11,2,00:01:35.310,00:01:39.430,00:00:04.120,yeah I guess so yeah subtraction with variable too,
7,11,2,00:01:42.690,00:01:44.740,00:00:02.050,,yeah it makes up more
8,11,2,00:01:47.980,00:01:51.111,00:00:03.131,did you have finals at Colfax or you're just like done,
9,11,2,00:01:53.239,00:01:56.159,00:00:02.920,,yeah we're kind of working on our tasks 
10,11,2,00:01:58.584,00:01:59.864,00:00:01.280,,(inaudible)
11,11,2,00:02:01.449,00:02:02.609,00:00:01.160,,might be far away right now from the night
12,11,2,00:02:07.010,00:02:07.270,00:00:00.260,no,
13,11,2,00:02:07.595,00:02:10.145,00:00:02.550,,very good do you hear me Mike
14,11,2,00:02:15.465,00:02:16.595,00:00:01.130,,I'm kind of tired today
15,11,2,00:02:17.625,00:02:17.945,00:00:00.320,yeah ,
16,11,2,00:02:18.800,00:02:19.570,00:00:00.770,,sleepyhead today 
17,11,2,00:02:29.970,00:02:32.380,00:00:02.410,I feel asleep in eighth period today ,
18,11,2,00:02:32.430,00:02:32.980,00:00:00.550,I took a nap ,
19,11,2,00:02:33.000,00:02:33.470,00:00:00.470,that was nice,
20,11,2,00:02:34.480,00:02:36.600,00:00:02.120,,yeah why do you have eighth period 
21,11,2,00:02:38.480,00:02:39.255,00:00:00.775, i have band,
22,11,2,00:02:40.488,00:02:42.608,00:00:02.120,,so yeah the whole place nap goes on 
23,11,2,00:02:43.753,00:02:45.233,00:00:01.480,yeah do you have Mr Lee ,
24,11,2,00:02:46.198,00:02:48.958,00:00:02.760,,Mr Lee so you've got (inaudible) then 
25,11,2,00:02:49.253,00:02:50.853,00:00:01.600,yeah he teaches at Colfax too ,
26,11,2,00:02:50.928,00:02:53.930,00:00:03.002,,yeah he does teach at Colfax must be (inaudible) okay yeah he does teach at Colfax must be (inaudible) okay 
27,11,2,00:02:57.200,00:02:57.920,00:00:00.720,yeah he's great ,
28,11,2,00:02:57.375,00:02:59.405,00:00:02.030,,(inaudible) all the best well I certainly got all the guys 
