"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1-1","P1","Experimenter 2-1","P2",
00:00:00.292,00:00:05.211,00:00:04.919,,,,,,,,,"here with this so let me show you the server",,,,
00:00:05.211,00:00:13.000,00:00:07.789,,,,,,,,,"what do I have with the pause filler thing to save the time",,,,
00:00:13.000,00:00:13.462,00:00:00.462,,,,,,,,,"what do I have with the pause filler thing to save the time",,"hey calibrating calibrating calibrating",,
00:00:13.462,00:00:13.492,00:00:00.030,,,,,,,,,,,"hey calibrating calibrating calibrating",,
00:00:13.492,00:00:16.705,00:00:03.213,,,,,,,,,,"they put one up to the screen so","hey calibrating calibrating calibrating",,
00:00:16.705,00:00:17.000,00:00:00.295,,,,,,,,,"pause filler calibrate",,"hey calibrating calibrating calibrating",,
00:00:17.000,00:00:17.463,00:00:00.463,,,,,,,,,"pause filler calibrate",,,,
00:00:17.892,00:00:21.124,00:00:03.232,,,,,,,,,,,,"it's like he disappears",
00:00:21.124,00:00:23.180,00:00:02.056,,,,,,,,,,,,"and then oh he's on the screen (laughter)",
00:00:23.349,00:00:29.476,00:00:06.127,,,,,,,,,"and make sure that high volume",,,,
00:00:29.476,00:00:30.932,00:00:01.456,,,,,,,,,,,"check out the last (inaudible)",,
00:00:31.591,00:00:37.547,00:00:05.956,,,,,,,,,"okay can you guys hear each other",,,,
00:00:37.876,00:00:38.375,00:00:00.499,,,,,,,,,,,,"yeah",
00:00:38.894,00:00:45.310,00:00:06.416,,,,,,,,,,,"all right so we just need to pause filler make sure everything is working on the server first",,
00:00:45.310,00:00:46.497,00:00:01.187,,,,,,,,,,,"so take a few minutes",,
00:00:46.497,00:00:47.495,00:00:00.998,,,,,,,,,,,"just kind of hang out",,
00:00:47.604,00:00:51.705,00:00:04.101,,,,,,,,,,,"and in about five we'll test this out and make sure if server is good",,
00:00:52.124,00:00:53.561,00:00:01.437,,,,,,,,,,,"and we'll be back but we",,
00:00:53.561,00:00:55.656,00:00:02.095,,,,,,,,,,,"just hang out for a number of minutes",,
00:00:55.716,00:00:59.248,00:00:03.532,,,,,,,,,"okay so I guess you're free to just hang out a few minutes",,,,
00:00:59.308,00:01:00.685,00:00:01.377,,,,,,,,,"and don't start the problems yet",,,,
00:01:01.124,00:01:01.722,00:00:00.598,,,,,,,,,,,,"okay",
00:01:02.012,00:01:03.039,00:00:01.027,,,,,,,,,,"they don't show up until",,,
00:01:03.039,00:01:05.304,00:00:02.265,,,,,,,,,,,,"well we don't have a pen either",
00:01:06.362,00:01:06.960,00:00:00.598,,,,,,,,,,"I got a mouse",,,
00:01:06.990,00:01:07.719,00:00:00.729,,,,,,,,,,"that's all I need (laughter)",,,
00:01:07.719,00:01:08.926,00:00:01.207,,,,,,,,,,,,"oh you got",
00:01:08.926,00:01:11.241,00:00:02.315,,,,,,,,,,,,"I don't have a mouse man",
00:01:11.330,00:01:11.789,00:00:00.459,,,,,,,,,,"I do",,,
00:01:12.149,00:01:14.044,00:00:01.895,,,,,,,,,,,,"oh do you have a pen",
00:01:14.403,00:01:14.623,00:00:00.220,,,,,,,,,,"no",,,
00:01:14.623,00:01:20.360,00:00:05.737,,,,,,,,,,,,"oh okay just (inaudible) I don't think it's going to compare",
00:01:20.360,00:01:21.467,00:00:01.107,,,,,,,,,,"I all I have is I have a mouse",,,
