"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P2","Experimenter 2","Experimenter","Experimenter 1","P1","P2","Experimenter-1","PP_P1",
00:00:00.142,00:00:02.527,00:00:02.385,,,,,,,,,,,"so you can hear me now",,,,
00:00:02.587,00:00:05.919,00:00:03.332,,,,,,,,,,,,"yeah I can hear you now (laughter)",,,
00:00:06.977,00:00:08.194,00:00:01.217,,,,,,,,,,,"pause filler that's good pause filler",,,,
00:00:08.413,00:00:09.012,00:00:00.599,,,,,,,,,,,"oh loading",,,,
00:00:09.351,00:00:10.199,00:00:00.848,,,,,,,,,,,"did I hit something",,,,
00:00:11.686,00:00:13.502,00:00:01.816,,,,,,,,,,,"wait you can see the screen as well right",,,,
00:00:14.080,00:00:14.280,00:00:00.200,,,,,,,,,,,,"yeah",,,
00:00:14.280,00:00:15.547,00:00:01.267,,,,,,,,,,,,"I can see you yeah",,,
00:00:15.926,00:00:17.463,00:00:01.537,,,,,,,,,,,"let's see pause filler",,,,
00:00:17.463,00:00:22.781,00:00:05.318,,,,,,,,,,,"wait okay we go no no okay that's weird",,,,
00:00:22.781,00:00:34.105,00:00:11.324,,,,,,,,,,,"huh pause filler wait you see the screen with all the green on it right",,,,
00:00:34.324,00:00:35.202,00:00:00.878,,,,,,,,,,,,"yeah yeah yeah yeah",,,
00:00:35.292,00:00:37.467,00:00:02.175,,,,,,,,,,,"yeah I see it eraser maybe",,,,
00:00:38.485,00:00:38.954,00:00:00.469,,,,,,,,,,,"it's weird",,,,
00:00:38.954,00:00:40.251,00:00:01.297,,,,,,,,,,,"why is it",,,,
00:00:40.251,00:00:43.214,00:00:02.963,,,,,,,,,,,"okay because we hit super because huh",,,,
00:00:43.583,00:00:47.714,00:00:04.131,,,,,,,,,,,"this is weird I think",,,,
00:00:48.023,00:00:48.422,00:00:00.399,,,,,,,,,,,"yeah pause filler nope",,,,
00:00:48.572,00:00:53.381,00:00:04.809,,,,,,,,,,,,"maybe if you just hit undo button or something",,,
00:00:53.381,00:00:56.524,00:00:03.143,,,,,,,,,,,"yeah (inaudible) because the undo button is not working over here",,,,
00:00:58.450,00:00:58.859,00:00:00.409,,,,,,,,,,,"there we go",,,,
00:00:58.968,00:01:01.104,00:00:02.136,,,,,,,,,,,"pause filler that all it's going to do",,,,
00:01:01.104,00:01:09.734,00:00:08.630,,,,,,,,,,,"pause filler oh I think I know what happened probably because yeah okay",,,,
00:01:09.734,00:01:14.623,00:00:04.889,,,,,,,,,,,"pause filler oh well I think yeah I think I know what the problem is",,,,
00:01:14.623,00:01:20.520,00:00:05.897,,,,,,,,,,,"I'm just going to try that but okay",,,,
00:01:20.619,00:01:29.699,00:00:09.080,,,,,,,,,,,"yeah okay huh okay it depends oh there okay that would make it okay oh so probably negative three",,,,
00:01:29.699,00:01:34.947,00:00:05.248,,,,,,,,,,,"oh that was a great three plus x equals twenty-two",,,,
00:01:34.947,00:01:35.855,00:00:00.908,,,,,,,,,,,,"wait I can't oh",,,
00:01:36.034,00:01:37.271,00:00:01.237,,,,,,,,,,,"can you see that",,,,
00:01:37.451,00:01:40.793,00:00:03.342,,,,,,,,,,,,"wait should I go on that page",,,
00:01:40.973,00:01:42.849,00:00:01.876,,,,,,,,,,,"pause filler I don't know pause filler wait",,,,
00:01:45.972,00:01:47.608,00:00:01.636,,,,,,,,,,,"pause filler I don't know no",,,,
00:01:47.608,00:01:51.090,00:00:03.482,,,,,,,,,,,,"all right is that the page you're on",,,
00:01:51.579,00:01:52.716,00:00:01.137,,,,,,,,,,,"I can't see it",,,,
00:01:52.716,00:01:54.752,00:00:02.036,,,,,,,,,,,"can you scribble on it",,,,
00:01:54.752,00:01:58.812,00:00:04.060,,,,,,,,,,,"I don't know",,,,
00:01:58.812,00:01:59.152,00:00:00.340,,,,,,,,,,,,"no",,,
00:01:59.611,00:02:03.143,00:00:03.532,,,,,,,,,,,"nope pause filler what do you see on it",,,,
00:02:03.991,00:02:12.821,00:00:08.830,,,,,,,,,,,,"pause filler I'll go to a page keep going on pages I can all I see is pause filler different pages with like scribbles and stuff",,,
00:02:12.821,00:02:13.908,00:00:01.087,,,,,,,,,,,"pause filler do you see green or",,,,
00:02:13.908,00:02:16.951,00:00:03.043,,,,,,,,,,,,"I see green on most of the pages",,,
00:02:16.951,00:02:20.363,00:00:03.412,,,,,,,,,,,,"I just can't see the problem",,,
00:02:20.363,00:02:28.695,00:00:08.332,,,,,,,,,,,"okay pause filler see it says it's like on the top it says scribbler room hw seven bchn five",,,,
00:02:30.630,00:02:33.065,00:00:02.435,,,,,,,,,,,"I don't know if you saw that",,,,
00:02:33.603,00:02:34.591,00:00:00.988,,,,,,,,,,,,"here wait wait wait wait",,,
00:02:35.409,00:02:36.976,00:00:01.567,,,,,,,,,,,"pause filler I guess I could try",,,,
00:02:38.792,00:02:39.660,00:00:00.868,,,,,,,,,,,,"is this it",,,
00:02:40.897,00:02:45.277,00:00:04.380,,,,,,,,,,,"pause filler I can't view what room you're on all I can see is your pause filler yeah",,,,
00:02:45.885,00:02:50.216,00:00:04.331,,,,,,,,,,,,"is it x minus six equals thirteen",,,
00:02:51.074,00:02:52.790,00:00:01.716,,,,,,,,,,,"x minus no",,,,
00:02:52.790,00:02:56.212,00:00:03.422,,,,,,,,,,,"but I'll try from that one here",,,,
00:02:56.910,00:03:00.812,00:00:03.902,,,,,,,,,,,,"wait is it three plus x equals twenty-two",,,
00:03:01.440,00:03:03.216,00:00:01.776,,,,,,,,,,,"three plus yeah I think that one",,,,
00:03:03.216,00:03:05.052,00:00:01.836,,,,,,,,,,,"can you see everything on that page",,,,
00:03:05.690,00:03:05.990,00:00:00.300,,,,,,,,,,,,"yeah",,,
00:03:05.990,00:03:09.691,00:00:03.701,,,,,,,,,,,,"I see all the like mint green scribble stuff",,,
00:03:09.691,00:03:12.226,00:00:02.535,,,,,,,,,,,"yeah that was the (inaudible) okay",,,,
00:03:13.104,00:03:15.907,00:00:02.803,,,,,,,,,,,"so yeah okay I can see you",,,,
