"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","Experimenter 2-1","P1","P2",
00:00:00.012,00:00:02.078,00:00:02.066,,,,,,,,,,,,"that looks great",,,,
00:00:03.485,00:00:14.599,00:00:11.114,,,,,,,,,,,,"so just a moment",,,,
00:00:14.809,00:00:20.586,00:00:05.777,,,,,,,,,,,,,"so we need to get something together pause filler",,,
00:00:20.586,00:00:23.918,00:00:03.332,,,,,,,,,,,,,"make sure I start with the first one correctly pause filler",,,
00:00:23.918,00:00:27.091,00:00:03.173,,,,,,,,,,,,,"you guys can hang out and talk a little bit pause filler",,,
00:00:27.290,00:00:30.413,00:00:03.123,,,,,,,,,,,,,"don't start working yet though",,,
00:00:30.413,00:00:32.199,00:00:01.786,,,,,,,,,,,,"all right so everything looks good",,,,
00:00:32.199,00:00:38.016,00:00:05.817,,,,,,,,,,,,"and before we start I just need to make sure the server is working so",,,,
00:00:38.016,00:00:45.848,00:00:07.832,,,,,,,,,,,,"you just put these on to make sure you guys can hear each other",,,,
00:00:45.918,00:00:46.816,00:00:00.898,,,,,,,,,,,,,,"pause filler I'm hearing stuff",,
00:00:47.305,00:00:48.133,00:00:00.828,,,,,,,,,,,,,,,"yeah can you hear me",
00:00:48.233,00:00:49.231,00:00:00.998,,,,,,,,,,,,,,"yeah I can hear you",,
00:00:49.231,00:00:49.560,00:00:00.329,,,,,,,,,,,,,,,"all right",
00:00:50.149,00:00:51.406,00:00:01.257,,,,,,,,,,,,,,"yeah okay",,
00:00:51.406,00:00:53.780,00:00:02.374,,,,,,,,,,,,"can you move back up a little in your chair",,,,
00:00:53.780,00:00:54.968,00:00:01.188,,,,,,,,,,,,,,"what",,
00:00:54.968,00:00:57.941,00:00:02.973,,,,,,,,,,,,"can you move back up in your chair a little",,,,
00:00:57.941,00:00:59.727,00:00:01.786,,,,,,,,,,,,"and move them here",,,,
00:00:59.727,00:01:02.251,00:00:02.524,,,,,,,,,,,,,,"yeah is there a way to",,
00:01:02.560,00:01:17.766,00:00:15.206,,,,,,,,,,,,"okay all right so you guys can hear each other okay",,,,
00:01:17.955,00:01:18.424,00:00:00.469,,,,,,,,,,,,,,"uh-huh",,
00:01:22.156,00:01:24.770,00:00:02.614,,,,,,,,,,,,"I am going to just come in",,,,
00:01:24.770,00:01:32.033,00:00:07.263,,,,,,,,,,,,"all right so you guys can feel free to hang out and talk",,,,
00:01:32.033,00:01:36.922,00:00:04.889,,,,,,,,,,,,"I just have to go and check on something really quickly",,,,
00:01:36.922,00:01:41.003,00:00:04.081,,,,,,,,,,,,"I'll be right back",,,,
00:01:41.342,00:01:41.542,00:00:00.200,,,,,,,,,,,,,,"okay",,
00:01:42.001,00:01:44.395,00:00:02.394,,,,,,,,,,,,,,,"nice to see you again",
00:01:45.094,00:01:49.144,00:00:04.050,,,,,,,,,,,,,,"yeah nice to see you as well yeah",,
00:01:50.062,00:01:51.479,00:00:01.417,,,,,,,,,,,,,,,"so how's your week",
00:01:51.479,00:01:52.118,00:00:00.639,,,,,,,,,,,,,,"pause filler pretty good pause filler",,
00:01:52.148,00:01:55.410,00:00:03.262,,,,,,,,,,,,,,"see spring break just started for me",,
00:01:55.410,00:01:55.879,00:00:00.469,,,,,,,,,,,,,,"what about you",,
00:01:55.879,00:01:56.977,00:00:01.098,,,,,,,,,,,,,,"have you guys spring break yet",,
00:01:57.346,00:01:59.870,00:00:02.524,,,,,,,,,,,,,,,"no pause filler I have like a half day Wednesday",
00:01:59.870,00:02:02.534,00:00:02.664,,,,,,,,,,,,,,,"and then on Thursday and Friday I'm off",
00:02:02.534,00:02:05.078,00:00:02.544,,,,,,,,,,,,,,,"and then on Monday I'm off again so",
00:02:05.078,00:02:07.632,00:00:02.554,,,,,,,,,,,,,,"I've had the entire week off",,
00:02:07.632,00:02:08.510,00:00:00.878,,,,,,,,,,,,,,"so a little bit",,
00:02:08.510,00:02:08.750,00:00:00.240,,,,,,,,,,,,,,,"really",
00:02:08.750,00:02:11.943,00:00:03.193,,,,,,,,,,,,,,"yeah so this all be nice",,
00:02:11.943,00:02:14.118,00:00:02.175,,,,,,,,,,,,,,,"I wish I had the entire week off",
00:02:14.118,00:02:16.063,00:00:01.945,,,,,,,,,,,,,,"yeah that sucks",,
00:02:16.522,00:02:25.143,00:00:08.621,,,,,,,,,,,,,,,"(laughter) I think next year my school was going to try to do like the entire week thing",
00:02:25.143,00:02:26.420,00:00:01.277,,,,,,,,,,,,,,,"but not this year",
00:02:27.527,00:02:27.707,00:00:00.180,,,,,,,,,,,,,,"oh",,
