"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1-1","P1","Experimenter 2-1","P2","Experiment 1",
00:00:00.012,00:00:18.141,00:00:18.129,,,,,,,,,"(inaudible) there but we can't solve the problems",,,,,
00:00:20.147,00:00:31.132,00:00:10.985,,,,,,,,,"so I'm actually going to take the stylus",,,,,
00:00:31.910,00:00:32.349,00:00:00.439,,,,,,,,,,"what",,,,
00:00:32.409,00:00:50.917,00:00:18.508,,,,,,,,,"you can't start the problems yet",,,,,
00:00:51.086,00:02:41.785,00:01:50.699,,,,,,,,,"so I'm going to take the stylus while I'm (inaudible)",,,,,
00:02:42.683,00:02:47.552,00:00:04.869,,,,,,,,,"can you guys hear each other",,,,,
00:02:47.552,00:02:49.407,00:00:01.855,,,,,,,,,,"what",,,,
00:02:52.640,00:02:58.686,00:00:06.046,,,,,,,,,"can you hear him",,,,,
00:03:03.366,00:04:51.550,00:01:48.184,,,,,,,,,"perfect all right I'll be back in a few minutes",,,,,
00:04:52.049,00:05:31.619,00:00:39.570,,,,,,,,,"there's just one more thing I need to do",,,,,
00:05:33.614,00:06:13.623,00:00:40.009,,,,,,,,,"hi can you take your headphones off",,,,,
00:06:14.082,00:07:23.255,00:01:09.173,,,,,,,,,"oh oh boy all right I'm going to be right back",,,,,
00:07:29.750,00:07:44.547,00:00:14.797,,,,,,,,,"thanks for letting me know",,,,,
00:07:53.317,00:07:55.612,00:00:02.295,,,,,,,,,,,,"okay",,
00:07:57.288,00:08:01.189,00:00:03.901,,,,,,,,,,,"the pause filler page number's down there",,,
00:08:01.628,00:08:02.895,00:00:01.267,,,,,,,,,,,,"all right",,
00:08:13.451,00:08:19.000,00:00:05.549,,,,,,,,,"all right sorry about that so that's okay",,,,,
00:08:19.000,00:08:20.000,00:00:01.000,,,,,,,,,"all right sorry about that so that's okay","(inaudible)",,,,
00:08:20.000,00:08:22.800,00:00:02.800,,,,,,,,,"all right sorry about that so that's okay",,,,,
00:08:22.800,00:08:25.563,00:00:02.763,,,,,,,,,"I'll just put that over there pause filler",,,,,
00:08:25.763,00:08:39.163,00:00:13.400,,,,,,,,,"okay so thanks for your patience sorry about that",,,,,
00:08:40.520,00:08:47.000,00:00:06.480,,,,,,,,,"here's your stylus and another pencil pause filler",,,,,
00:08:47.000,00:08:48.000,00:00:01.000,,,,,,,,,"here's your stylus and another pencil pause filler",,"(inaudible)",,,
00:08:48.000,00:08:56.094,00:00:08.094,,,,,,,,,"here's your stylus and another pencil pause filler",,,,,
00:09:01.023,00:09:17.166,00:00:16.143,,,,,,,,,"so you have twenty minutes to help them work through as many problems as you can",,,,,
00:09:17.166,00:09:26.794,00:00:09.628,,,,,,,,,"pause filler just remember pause filler to make sure that you aren't solving the problems yourself",,,,,
00:09:26.794,00:09:44.524,00:00:17.730,,,,,,,,,"just use the stylus to circle or underline if you need to",,,,,
00:09:45.502,00:09:52.915,00:00:07.413,,,,,,,,,"but let them solve the problems",,,,,
00:09:52.985,00:10:02.214,00:00:09.229,,,,,,,,,"pause filler no pressure if you can't get through them all",,,,,
00:10:02.214,00:10:05.925,00:00:03.711,,,,,,,,,"and so if you can go ahead and get started",,,,,
00:10:05.925,00:10:07.641,00:00:01.716,,,,,,,,,,"so there's one on every page",,,,
00:10:07.641,00:10:08.210,00:00:00.569,,,,,,,,,"yes",,,,,
00:10:08.300,00:10:11.732,00:00:03.432,,,,,,,,,,"so I just go to there to go to the next problem",,,,
00:10:11.772,00:10:12.032,00:00:00.260,,,,,,,,,"yeah",,,,,
00:10:12.032,00:10:14.227,00:00:02.195,,,,,,,,,,"and they work they do the problem",,,,
00:10:14.316,00:10:20.562,00:00:06.246,,,,,,,,,"yeah and you can like talk to each other about the problems",,,,,
00:10:20.582,00:10:26.269,00:00:05.687,,,,,,,,,"and you can put your headphones back on",,,,,
00:10:26.758,00:10:38.471,00:00:11.713,,,,,,,,,"and then when I come back (inaudible) you can just take them off and can you (inaudible)",,,,,
00:10:40.916,00:11:18.191,00:00:37.275,,,,,,,,,"you can put your headphones on whenever you're ready",,,,,
00:11:22.142,00:11:45.768,00:00:23.626,,,,,,,,,,"pause filler you can start",,,,
00:11:45.888,00:12:00.904,00:00:15.016,,,,"SV",,"SV1A",,,,,,"okay so pause filler all right this thing's weird to control pause filler",,
00:12:25.029,00:12:29.679,00:00:04.650,,,,,,,,,,,,"so is this how pause filler to start the equation",,
00:12:29.938,00:12:39.696,00:00:09.758,,,,,,,,,,"pause filler yeah so then the sixes cancel out",,,,
00:12:39.925,00:12:40.065,00:00:00.140,,,,,,,,,,,,"yeah",,
00:12:40.115,00:12:42.230,00:00:02.115,,,,,,,,,,"and then you add thirteen to six",,,,
00:12:42.809,00:12:47.000,00:00:04.191,,,,,,,,,,,,"yeah okay so you get x equals pause filler nineteen",,
