"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","SV_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","PP_Notes","P1","P2",
00:00:03.934,00:00:05.480,00:00:01.546,,,,,,,,,"oh he doesn't have the headphones on yet",,
00:00:11.506,00:00:13.881,00:00:02.375,,,,,,,,,"he's not saying anything yet",,
00:01:00.216,00:01:00.934,00:00:00.718,,,,,,,,,"all right",,
00:01:22.535,00:01:22.665,00:00:00.130,,,,,,,,,"okay",,
00:01:31.594,00:01:33.290,00:00:01.696,,,,,,,,,"all right thank you",,
00:01:33.290,00:01:33.670,00:00:00.380,,,,,,,,,,"so",
00:01:33.670,00:01:35.396,00:00:01.726,,,,,,,,,"are you getting me clear",,
00:01:35.466,00:01:35.625,00:00:00.159,,,,,,,,,,"yeah",
00:01:35.625,00:01:37.162,00:00:01.537,,,,,,,,,,"you pause filler you are getting me",
00:01:37.880,00:01:38.139,00:00:00.259,,,,,,,,,"pause filler yeah",,
00:01:38.509,00:01:38.918,00:00:00.409,,,,,,,,,,"okay",
00:01:39.057,00:01:40.065,00:00:01.008,,,,,,,,,"all right that's great",,
00:01:40.105,00:01:41.362,00:00:01.257,,,,,,,,,"so how are you doing",,
00:01:41.651,00:01:42.490,00:00:00.839,,,,,,,,,,"pause filler good",
00:01:42.639,00:01:43.936,00:00:01.297,,,,,,,,,,"pause filler how are you",
00:01:44.415,00:01:45.612,00:00:01.197,,,,,,,,,"pause filler I'm doing great",,
00:01:46.820,00:01:47.438,00:00:00.618,,,,,,,,,"what's your name",,
00:01:47.798,00:01:49.005,00:00:01.207,,,,,,,,,,"pause filler I'm Charlie",
00:01:49.853,00:01:50.731,00:00:00.878,,,,,,,,,"well I'm Jordan",,
00:01:50.731,00:01:51.739,00:00:01.008,,,,,,,,,"nice to meet you Charlie",,
00:01:51.908,00:01:52.547,00:00:00.639,,,,,,,,,,"nice to meet you",
00:01:53.993,00:01:56.438,00:00:02.445,,,,,,,,,"so I sign the tutoring thing",,
00:01:58.114,00:02:03.073,00:00:04.959,,,,,,,,,"well I guess you're supposed to pause filler open the pause filler",,
00:02:06.435,00:02:07.563,00:00:01.128,,,,,,,,,"oh boy",,
00:02:08.271,00:02:11.643,00:00:03.372,,,,,,,,,"pause filler I guess we're going to",,
00:02:11.803,00:02:18.957,00:00:07.154,,,,,,,,,"she said she's going to like set up the servers and stuff so that she can pause filler make sure everything is working properly",,
00:02:19.575,00:02:23.367,00:00:03.792,,,,,,,,,"and she pause filler took the stylus for the writing thing",,
00:02:24.135,00:02:25.003,00:00:00.868,,,,,,,,,,"oh yeah same here",
00:02:25.003,00:02:28.266,00:00:03.263,,,,,,,,,"pause filler I guess they don't want us to mess around",,
00:02:29.752,00:02:30.091,00:00:00.339,,,,,,,,,,"yeah",
00:02:36.118,00:02:42.563,00:00:06.445,,,,,,,,,"so well so did your mom like asked you to do this or",,
00:02:42.603,00:02:50.355,00:00:07.752,,,,,,,,,,"pause filler I was in desperate need of the money so yeah",
00:02:50.994,00:02:53.658,00:00:02.664,,,,,,,,,"my mom just found this on like the Highland Park list",,
00:02:53.658,00:02:55.464,00:00:01.806,,,,,,,,,"and she's like all right Jordan you have to go",,
00:02:55.534,00:03:00.472,00:00:04.938,,,,,,,,,"and then yeah so and I was like oh I'm getting paid for it",,
00:03:00.632,00:03:01.201,00:00:00.569,,,,,,,,,"awesome",,
00:03:01.779,00:03:06.499,00:00:04.720,,,,,,,,,,"yeah it's like if reward is involved I will do it",
00:03:08.305,00:03:12.605,00:00:04.300,,,,,,,,,"and I heard we get like an extra ten dollars if we finish it or something",,
00:03:12.675,00:03:14.830,00:00:02.155,,,,,,,,,,"oh yeah something like that",
00:03:15.119,00:03:21.325,00:00:06.206,,,,,,,,,"yeah so if we get this all done imagine twenty-five dollars",,
00:03:22.103,00:03:25.895,00:00:03.792,,,,,,,,,,"well all the money I earn I'm in debt to my parents",
00:03:26.393,00:03:27.940,00:00:01.547,,,,,,,,,"you're in debt to your parents",,
00:03:27.990,00:03:28.469,00:00:00.479,,,,,,,,,,"yeah",
00:03:29.347,00:03:32.001,00:00:02.654,,,,,,,,,"well that must be pretty hard then",,
00:03:32.370,00:03:36.191,00:00:03.821,,,,,,,,,,"yeah good thing is only like thirty something dollars so",
00:03:36.391,00:03:36.780,00:00:00.389,,,,,,,,,"oh",,
00:03:37.478,00:03:40.461,00:00:02.983,,,,,,,,,,"and I'll still have some money in the future I guess",
00:03:41.739,00:03:45.480,00:00:03.741,,,,,,,,,"yeah so are you good at math or",,
00:03:46.278,00:03:48.653,00:00:02.375,,,,,,,,,,"pause filler I'm okay",
00:03:48.653,00:03:51.955,00:00:03.302,,,,,,,,,,"surprisingly I have a b in the class which I did not think I have",
00:03:53.741,00:03:57.882,00:00:04.141,,,,,,,,,"oh well math is like my worst subject",,
00:03:58.421,00:04:01.903,00:00:03.482,,,,,,,,,"but I mean I understand like this stuff",,
