"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","P1","P2","Experimenter-1","Experimenter 2-1",
00:00:00.711,00:00:02.617,00:00:01.906,,,,,,,,,,,,"all right yeah",,,,
00:00:02.617,00:00:05.031,00:00:02.414,,,,,,,,,,,,"so pause filler what's new",,,,
00:00:06.358,00:00:08.354,00:00:01.996,,,,,,,,,,,,,"pause filler nothing really",,,
00:00:10.369,00:00:15.238,00:00:04.869,,,,,,,,,,,,"(laughter) well I'm just planning of making my new video pause filler about Pittsburgh history",,,,
00:00:15.238,00:00:16.864,00:00:01.626,,,,,,,,,,,,"it's up like abridged",,,,
00:00:17.253,00:00:20.316,00:00:03.063,,,,,,,,,,,,"so it's going to be like a really short",,,,
00:00:20.396,00:00:24.257,00:00:03.861,,,,,,,,,,,,"and like I guess a little bit I don't know insulting",,,,
00:00:24.796,00:00:26.283,00:00:01.487,,,,,,,,,,,,"and it's going to be like",,,,
00:00:26.562,00:00:29.376,00:00:02.814,,,,,,,,,,,,"all right so the way Pittsburgh started yo",,,,
00:00:29.376,00:00:33.047,00:00:03.671,,,"SV",,"SV1D",,,,,,,"it was just like so this brick bitch guy who just like",,,,
00:00:33.097,00:00:35.023,00:00:01.926,,,,,,,,,,,,"he saw this like French colony",,,,
00:00:35.023,00:00:35.811,00:00:00.788,,,,,,,,,,,,"he was like oh no",,,,
00:00:35.811,00:00:37.098,00:00:01.287,,,,,,,,,,,,"this is owned by Pitt",,,,
00:00:37.098,00:00:39.602,00:00:02.504,,,,,,,,,,,,"so he go and named it Pitt's bag without an h",,,,
00:00:39.602,00:00:40.211,00:00:00.609,,,,,,,,,,,,"take note",,,,
00:00:40.480,00:00:43.144,00:00:02.664,,,,,,,,,,,,"and you know so it's sort of something like that",,,,
00:00:43.144,00:00:44.761,00:00:01.617,,,,,,,,,,,,"and I just started on this script",,,,
