"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","P2","P1","Experimenter 2-1",
00:00:00.132,00:00:03.544,00:00:03.412,,,,,,,,,,,,"so I just have to go check on something really quickly",,,,
00:00:03.544,00:00:14.170,00:00:10.626,,,,,,,,,,,,"maybe you guys can talk to know each other and then",,,,
00:00:14.170,00:00:15.198,00:00:01.028,,,,,,,,,,,,,"okay pause filler well hi",,,
00:00:15.198,00:00:15.388,00:00:00.190,,,,,,,,,,,,,,"hi",,
00:00:15.388,00:00:22.172,00:00:06.784,,,,,,,,,,,,,"pause filler I think I like met you at that like TechNights thing or something",,,
00:00:22.561,00:00:23.369,00:00:00.808,,,,,,,,,,,,,,"yeah okay",,
00:00:23.768,00:00:27.550,00:00:03.782,,,,,,,,,,,,,"I think you're wearing like the (inaudible) hat or something I don't know",,,
00:00:27.550,00:00:28.069,00:00:00.519,,,,,,,,,,,,,,"yeah",,
00:00:28.228,00:00:30.144,00:00:01.916,,,,,,,,,,,,"we need to test something out to you five minutes",,,,
00:00:30.363,00:00:30.473,00:00:00.110,,,,,,,,,,,,,,"okay",,
00:00:30.473,00:00:31.122,00:00:00.649,,,,,,,,,,,,"don�t start working",,,,
00:00:31.122,00:00:33.716,00:00:02.594,,,,,,,,,,,,"just like hang out and talk",,,,
00:00:33.716,00:00:34.005,00:00:00.289,,,,,,,,,,,,,,"okay",,
00:00:34.404,00:00:35.362,00:00:00.958,,,,,,,,,,,,"and (inaudible) test",,,,
00:00:36.041,00:00:36.310,00:00:00.269,,,,,,,,,,,,,,"okay",,
00:00:36.400,00:00:37.976,00:00:01.576,,,,,,,,,,,,"so I'll close it with that continue",,,,
00:00:38.136,00:00:41.368,00:00:03.232,,,,,,,,,,,,,,"yeah that was like a few months ago right",,
00:00:41.847,00:00:42.197,00:00:00.350,,,,,,,,,,,,,"yeah",,,
00:00:42.616,00:00:44.242,00:00:01.626,,,,,,,,,,,,,,"what's your name",,
00:00:44.721,00:00:45.349,00:00:00.628,,,,,,,,,,,,,"Ania what's yours",,,
00:00:45.798,00:00:46.188,00:00:00.390,,,,,,,,,,,,,,"Liz",,
00:00:46.477,00:00:46.726,00:00:00.249,,,,,,,,,,,,,"okay",,,
00:00:51.635,00:00:54.678,00:00:03.043,,,,,,,,,,,,,,"so (inaudible) doing this study because I found that I was getting paid",,
00:00:55.417,00:00:57.292,00:00:01.875,,,,,,,,,,,,,"yeah that�s why I'm doing it",,,
00:00:57.292,00:00:58.350,00:00:01.058,,,,,,,,,,,,,,"I think that�s why everyone�s doing it",,
00:00:58.350,00:01:02.820,00:00:04.470,,,,,,,,,,,,,,"at least that shouldn't be that horribly hard right",,
00:01:02.860,00:01:05.623,00:00:02.763,,,,,,,,,,,,,"yeah then that seems pretty easy so",,,
00:01:05.623,00:01:12.857,00:00:07.234,,,,,,,,,,,,,,"yeah it's not like word problems so (inaudible) because I don't know anything about those",,
00:01:16.399,00:01:17.546,00:00:01.147,,,,,,,,,,,,,,"he took the stylus",,
00:01:18.305,00:01:19.891,00:00:01.586,,,,,,,,,,,,,"yeah he took it as well",,,
00:01:21.797,00:01:29.170,00:00:07.373,,,,,,,,,,,,,,"is that part of the study (laughter) probably",,
00:01:29.968,00:01:30.118,00:00:00.150,,,,,,,,,,,,,"yeah",,,
00:01:43.437,00:01:45.652,00:00:02.215,,,,,,,,,,,,,,"so many like people walking around the building",,
00:01:45.652,00:01:47.578,00:00:01.926,,,,,,,,,,,,,,"and luckily everyone has looked into this room",,
00:01:47.578,00:01:49.085,00:00:01.507,,,,,,,,,,,,,,"and it's so uncomfortable",,
00:01:52.926,00:01:55.330,00:00:02.404,,,,,,,,,,,,,"yeah they're like go yeah sorry",,,
00:01:55.749,00:01:57.705,00:00:01.956,,,,,,,,,,,,,,"they just like put me in this little lab",,
00:01:57.705,00:01:59.980,00:00:02.275,,,,,,,,,,,,,,"and there's at least games and stuff in it it's like",,
00:02:01.506,00:02:03.532,00:00:02.026,,,,,,,,,,,,,"yeah they just left me for twenty minutes",,,
00:02:03.532,00:02:05.108,00:00:01.576,,,,,,,,,,,,,"I had no idea where anyone was",,,
00:02:05.108,00:02:07.433,00:00:02.325,,,,,,,,,,,,,"so I was like that they forget about me",,,
00:02:07.433,00:02:10.217,00:00:02.784,,,,,,,,,,,,,,"no they left",,
00:02:10.217,00:02:13.010,00:00:02.793,,,,,,,,,,,,,,"I don't know why but left me here for a while",,
00:02:13.010,00:02:14.317,00:00:01.307,,,,,,,,,,,,,,"and I was just sat on my phone",,
00:02:14.317,00:02:15.265,00:00:00.948,,,,,,,,,,,,,,"and then they took it",,
00:02:15.624,00:02:17.251,00:00:01.627,,,,,,,,,,,,,"yeah they took my phone",,,
00:02:18.727,00:02:25.781,00:00:07.054,,,,,,,,,,,,,,"there but you know it's distracting",,
00:02:25.991,00:02:26.200,00:00:00.209,,,,,,,,,,,,,"yeah",,,
00:02:27.348,00:02:31.678,00:00:04.330,,,,,,,,,,,,,,"because then I have a calculator (inaudible) person",,
00:02:35.569,00:02:51.652,00:00:16.083,,,,,,,,,,,,,,"this pencil is fancy yeah",,
00:02:51.652,00:03:01.540,00:00:09.888,,,,,,,,,,,,,,"there's a person up the door",,
00:03:03.954,00:03:14.979,00:00:11.025,,,,,,,,,,,,,,"but it's not him",,
00:03:48.354,00:03:54.589,00:00:06.235,,,,,,,,,,,,,"are there loads of people like walking past you or something",,,
00:03:54.819,00:03:58.760,00:00:03.941,,,,,,,,,,,,,,"yeah wait are you like at the end of the tall or something",,
00:03:58.760,00:04:01.693,00:00:02.933,,,,,,,,,,,,,,"are you like in totally different area",,
00:04:01.693,00:04:01.973,00:00:00.280,,,,,,,,,,,,,"I don't know",,,
00:04:01.973,00:04:04.856,00:00:02.883,,,,,,,,,,,,,"all I'm seeing is like loads of desks and chairs",,,
00:04:05.385,00:04:07.879,00:00:02.494,,,,,,,,,,,,,,"where are you downstairs or upstairs",,
00:04:08.009,00:04:08.717,00:00:00.708,,,,,,,,,,,,,"upstairs",,,
00:04:10.324,00:04:13.836,00:00:03.512,,,,,,,,,,,,,,"oh it's weird",,
00:04:13.836,00:04:16.180,00:00:02.344,,,,,,,,,,,,,,"because it looks like you're just against the blank wall right now",,
00:04:16.719,00:04:23.095,00:00:06.376,,,,,,,,,,,,,,"and then I have like a whole room (inaudible) really a nice (inaudible) here (inaudible)",,
00:04:23.095,00:04:24.092,00:00:00.997,,,,,,,,,,,,,"I know they said like",,,
00:04:24.920,00:04:50.023,00:00:25.103,,,,,,,,,,,,,"they take like five minutes but",,,
00:04:55.100,00:05:04.770,00:00:09.670,,,,,,,,,,,,,,"well that�s what the packets (inaudible)",,
00:05:04.840,00:05:09.100,00:00:04.260,,,,,,,,,,,,,"I wish I had my phone",,,
00:05:09.100,00:05:10.736,00:00:01.636,,,,,,,,,,,,,,"that�s why (inaudible) and stuff",,
00:05:47.423,00:05:59.865,00:00:12.442,,,,,,,,,,,,,"when they asked to take it away I was like",,,
00:05:59.865,00:06:02.868,00:00:03.003,,,,,,,,,,,,,"I could just say no and just keep it but",,,
00:06:03.127,00:06:06.929,00:00:03.802,,,,,,,,,,,,,,"we're getting paid forty bucks for ninety minutes",,
00:06:07.018,00:06:08.226,00:00:01.208,,,,,,,,,,,,,,"I think that�s under minimum (inaudible)",,
00:06:08.415,00:06:10.570,00:00:02.155,,,,,,,,,,,,,,"or that is minimum wage",,
00:06:10.870,00:06:18.343,00:00:07.473,,,,,,,,,,,,,,"the last study I did here took like five minutes",,
00:06:18.343,00:06:24.399,00:00:06.056,,,,,,,,,,,,,,"and they paid me twenty bucks an hour and a half",,
00:06:24.399,00:06:29.747,00:00:05.348,,,,,,,,,,,,,,"I didn't really know I was signing up to do math problems that I did for a homework",,
00:06:29.747,00:06:30.405,00:00:00.658,,,,,,,,,,,,,"are you an eighth grader",,,
00:06:30.984,00:06:31.553,00:00:00.569,,,,,,,,,,,,,,"yeah are you",,
00:06:31.553,00:06:31.732,00:00:00.179,,,,,,,,,,,,,"yes I am",,,
00:06:31.872,00:06:33.937,00:00:02.065,,,,,,,,,,,,,,"where do you go to school",,
00:06:34.406,00:06:36.571,00:00:02.165,,,,,,,,,,,,,"Folk School where do you go",,,
00:06:37.070,00:06:37.699,00:00:00.629,,,,,,,,,,,,,,"I go to Shadyside",,
00:06:37.699,00:06:39.944,00:00:02.245,,,,,,,,,,,,,,"but I'm going to Winchester next year so",,
00:06:39.944,00:06:40.163,00:00:00.219,,,,,,,,,,,,,"okay",,,
00:06:40.163,00:06:41.939,00:00:01.776,,,,,,,,,,,,,,"I'm going to Shadyside",,
00:06:41.939,00:06:45.750,00:00:03.811,,,,,,,,,,,,,,"oh my god I just broke the pencil",,
00:06:51.068,00:06:56.127,00:00:05.059,,,,,,,,,,,,,,"okay they're back okay",,
00:06:57.554,00:07:01.205,00:00:03.651,,,,,,,,,,,,"hey thanks for your patience",,,,
00:07:01.415,00:07:02.502,00:00:01.087,,,,,,,,,,,,"everything seems to be working",,,,
