"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","P1","P2",
00:00:01.449,00:00:06.498,00:00:05.049,,,,,,,,,,,,"pause filler I'll be back give me five minutes",,,
00:00:10.239,00:00:10.588,00:00:00.349,,,,,,,,,,,,,"okay",,
00:00:12.275,00:00:12.863,00:00:00.588,,,,,,,,,,,,,"oh oh",,
00:00:13.202,00:00:13.921,00:00:00.719,,,,,,,,,,,,,,"okay",
00:00:14.769,00:00:18.700,00:00:03.931,,,,,,,,,,,,,"we're all so confused",,
00:00:18.929,00:00:19.009,00:00:00.080,,,,,,,,,,,,,,"yeah",
00:00:25.425,00:00:38.475,00:00:13.050,,,,,,,,,,,,"(inaudible) stopwatch to make sure (inaudible) correctly",,,
00:00:38.774,00:00:41.528,00:00:02.754,,,,,,,,,,,,"all right",,,
00:00:49.979,00:01:02.650,00:00:12.671,,,,,,,,,,,,,,"so pause filler how are you",
00:01:02.650,00:01:02.949,00:00:00.299,,,,,,,,,,,,,"good",,
00:01:13.515,00:01:14.623,00:00:01.108,,,,,,,,,,,,,"(laughter) how are you",,
00:01:14.623,00:01:16.868,00:00:02.245,,,,,,,,,,,,,,"good yeah",
00:01:17.057,00:01:25.728,00:00:08.671,,,,,,,,,,,,,"I got to take a math test this morning",,
00:01:25.728,00:01:28.202,00:00:02.474,,,,,,,,,,,,,"so I could get extra credit and that",,
00:01:28.202,00:01:30.118,00:00:01.916,,,,,,,,,,,,,"on doing more math",,
00:01:30.746,00:01:32.622,00:00:01.876,,,,,,,,,,,,,"but this math is really easy",,
00:01:32.622,00:01:42.909,00:00:10.287,,,,,,,,,,,,,"so it's not a big deal",,
00:01:42.909,00:01:43.268,00:00:00.359,,,,,,,,,,,,,,"yeah",
00:01:48.765,00:01:58.862,00:00:10.097,,,,,,,,,,,,,"that was a one",,
00:02:23.227,00:02:46.205,00:00:22.978,,,"SV",,"SV1A",,,,,,,,"won't like it",,
00:02:54.626,00:02:56.711,00:00:02.085,,,"SV",,"SV1A",,,,,,,,"go away",,
00:03:34.315,00:03:34.495,00:00:00.180,,,,,,,,,,,,,"hold on",,
00:03:50.618,00:03:52.105,00:00:01.487,,,,,,,,,,,,,"I'm rewriting the problem",,
00:03:52.105,00:03:52.474,00:00:00.369,,,,,,,,,,,,,"hold on",,
00:03:53.183,00:03:54.510,00:00:01.327,,,,"SV",,"SV1A",,,,,,,,"hey do you have your stylus",
00:03:55.168,00:03:56.146,00:00:00.978,,,"SV",,"SV1A",,,,,,,,"no it doesn't work",,
00:03:56.724,00:03:57.892,00:00:01.168,,,,"SV",,"SV1A",,,,,,,,"oh they took mine",
00:04:00.795,00:04:02.382,00:00:01.587,,,"SV",,"SV1A",,,,,,,,"just use the mouse",,
00:04:02.382,00:04:04.856,00:00:02.474,,,,"SV",,"SV1A",,,,,,,,"I don't have a mouse either",
00:04:06.043,00:04:08.079,00:00:02.036,,,"SV",,"SV1A",,,,,,,,"they're so mean please",,
00:04:08.627,00:04:10.064,00:00:01.437,,,,"SV",,"SV1A",,,,,,,,"yeah they don't really trust us",
00:04:11.511,00:04:13.716,00:00:02.205,,,"SV",,"SV1A",,,,,,,,"well look what I've done",,
00:04:14.744,00:04:17.178,00:00:02.434,,,,,,,,,,,,,"I erased the problem on accident",,
00:04:17.837,00:04:20.431,00:00:02.594,,,,"SV",,"SV1A",,,,,,,,"they even accept the like problem things",
00:04:20.431,00:04:21.000,00:00:00.569,,,,"SV",,"SV1A",,,,,,,,"so I can't really like see anything",
00:04:21.000,00:04:22.000,00:00:01.000,,,,,,,,,,,,,,"(laughter)",
00:04:25.070,00:04:26.058,00:00:00.988,,,"SV",,"SV1A",,,,,,,,"what are we going to do",,
00:04:26.058,00:04:34.110,00:00:08.052,,,"SV",,"SV1A",,,,,,,,"like we're not that bad right",,
00:04:34.259,00:04:35.836,00:00:01.577,,,"SV",,"SV1A",,,,,,,,"(sfx) I'm really tired",,
00:04:38.480,00:04:40.994,00:00:02.514,,,"SV",,"SV1A",,,,,,,,"I honestly just like want to go home and sleep",,
00:04:41.303,00:04:41.602,00:00:00.299,,,,"SV",,"SV1A",,,,,,,,"yeah",
00:04:43.897,00:04:46.880,00:00:02.983,,,"SV",,"SV1A",,,,,,,,"instead I get stuck here doing math",,
00:04:48.357,00:04:50.033,00:00:01.676,,,"SV",,"SV1A",,,,,,,,"but at least we get paid",,
00:04:50.033,00:04:51.480,00:00:01.447,,,"SV",,"SV1A",,,,,,,,"but I don't think we're getting paid",,
00:04:51.739,00:04:57.347,00:00:05.608,,,,"SV",,"SV1A",,,,,,,,"did you get fifteen dollars last time",
00:04:57.417,00:04:57.846,00:00:00.429,,,"SV",,"SV1A",,,,,,,,"yeah",,
00:04:58.873,00:04:58.963,00:00:00.090,,,,"SV",,"SV1A",,,,,,,,"okay",
00:04:59.612,00:05:01.577,00:00:01.965,,,"SV",,"SV1A",,,,,,,,"I spent most of it already",,
