"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter","P2","P1","Experimenter 2",
00:00:00.500,00:00:06.800,00:00:06.300,,,,,,,,,"yeah so take a few minutes to introduce yourselves to other verify (inaudible)",,,,
00:00:07.600,00:00:11.700,00:00:04.100,,,,,,,,,,"okay okay",,,
00:00:11.700,00:00:13.200,00:00:01.500,,,,,,,,,,"okay hi",,,
00:00:13.200,00:00:14.600,00:00:01.400,,,,,,,,,,,"hi",,
00:00:15.600,00:00:17.000,00:00:01.400,,,,,,,,,,"pause filler what's your name",,,
00:00:17.300,00:00:17.700,00:00:00.400,,,,,,,,,,,"Maya",,
00:00:17.700,00:00:18.500,00:00:00.800,,,,,,,,,,,"what's yours",,
00:00:18.800,00:00:19.500,00:00:00.700,,,,,,,,,,"Maddie",,,
00:00:20.100,00:00:22.000,00:00:01.900,,,,,,,,,,"yeah where do you go to school",,,
00:00:22.500,00:00:23.000,00:00:00.500,,,,,,,,,,,"I go to (inaudible)",,
00:00:23.100,00:00:26.000,00:00:02.900,,,,,,,,,,"I go to CAPA yeah",,,
00:00:26.000,00:00:29.300,00:00:03.300,,,,,,,,,,"what grade are you in",,,
00:00:29.500,00:00:31.100,00:00:01.600,,,,,,,,,,,"I'm in seventh",,
00:00:31.100,00:00:32.700,00:00:01.600,,,,,,,,,,"same",,,
00:00:32.800,00:00:34.100,00:00:01.300,,,,,,,,,,"do you like algebra",,,
00:00:34.800,00:00:35.300,00:00:00.500,,,,,,,,,,,"nope",,
00:00:35.800,00:00:36.300,00:00:00.500,,,,,,,,,,"same",,,
00:00:36.300,00:00:39.500,00:00:03.200,,,,,,,,,,"I hate it",,,
00:00:39.600,00:00:44.000,00:00:04.400,,,,,,,,,,"(laughter) yup but yeah but do you have to take keystones",,,
00:00:44.200,00:00:44.400,00:00:00.200,,,,,,,,,,,"uh-uh",,
00:00:44.700,00:00:49.300,00:00:04.600,,,,,,,,,,"no well I have to take the keystones at the end of the year for algebra",,,
00:00:50.400,00:00:55.700,00:00:05.300,,,,,,,,,,"and I'm probably going to fail it (laughter) because like I am not good at algebra",,,
00:00:55.700,00:00:57.400,00:00:01.700,,,,,,,,,,"but you know I'll try",,,
00:00:57.400,00:00:57.800,00:00:00.400,,,,,,,,,,,"yeah",,
00:00:58.400,00:00:58.900,00:00:00.500,,,,,,,,,,"yeah",,,
00:00:58.900,00:00:59.300,00:00:00.400,,,,,,,,,,"yeah",,,
00:01:01.100,00:01:11.700,00:00:10.600,,,,,,,,,,,"so how old are you",,
00:01:12.400,00:01:13.400,00:00:01.000,,,,,,,,,,"I'm twelve",,,
00:01:13.600,00:01:17.500,00:00:03.900,,,,,,,,,,"I'm almost thirteen though because my birthday is tomorrow so yeah",,,
00:01:19.200,00:01:20.000,00:00:00.800,,,,,,,,,,"how about you",,,
00:01:20.400,00:01:21.100,00:00:00.700,,,,,,,,,,,"I'm twelve",,
00:01:21.100,00:01:24.100,00:00:03.000,,,,,,,,,,,"I'm turning thirteen pause filler on the thirtieth",,
00:01:25.100,00:01:27.300,00:00:02.200,,,,,,,,,,"oh of April",,,
00:01:28.000,00:01:28.200,00:00:00.200,,,,,,,,,,,"yeah",,
