"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","P1","P2",
00:00:00.500,00:00:08.300,00:00:07.800,,,,,,,,,"just like last time try to stay (inaudible)",,,,
00:00:08.600,00:00:15.600,00:00:07.000,,,,,,,,,"is it really loud pause filler okay the time that you need",,,,
00:00:15.600,00:00:18.800,00:00:03.200,,,,,,,,,"I just heard Michael talking (inaudible)",,,,
00:00:18.800,00:00:20.500,00:00:01.700,,,,,,,,,,"(inaudible) I'll come back in a few minutes",,,
00:00:20.900,00:00:21.400,00:00:00.500,,,,,,,,,,,"hi (laughter)",,
00:00:21.600,00:00:22.500,00:00:00.900,,,,,,,,,,"(inaudible) here you go",,,
00:00:22.500,00:00:25.200,00:00:02.700,,,,,,,,,,"okay so we're going to try to make sure our server is working (inaudible)",,,
00:00:25.300,00:00:26.600,00:00:01.300,,,,,,,,,,,"okay so",,
00:00:27.300,00:00:27.600,00:00:00.300,,,,,,,,,,,,"yeah okay (laughter)",
00:00:27.600,00:00:29.700,00:00:02.100,,,,,,,,,,,,"are you ready for algebra",
00:00:31.300,00:00:31.400,00:00:00.100,,,,,,,,,,,"no",,
00:00:31.500,00:00:32.500,00:00:01.000,,,,,,,,,,,,"oh I'm so tired",
00:00:32.900,00:00:35.900,00:00:03.000,,,,,,,,,,,"do you play soccer",,
00:00:35.900,00:00:39.100,00:00:03.200,,,,,,,,,,,,"yeah I just got back from practice",
00:00:40.900,00:00:43.500,00:00:02.600,,,,,,,,,,,,"could you tell by the outfit",
00:00:43.500,00:00:43.900,00:00:00.400,,,,,,,,,,,"yeah",,
00:00:43.900,00:00:47.500,00:00:03.600,,,,,,,,,,,,"yeah do you play any sports",
00:00:48.200,00:00:50.300,00:00:02.100,,,,,,,,,,,"I used to play soccer but now I don't",,
00:00:50.300,00:00:50.500,00:00:00.200,,,,,,,,,,,,"yeah",
00:00:50.500,00:00:59.300,00:00:08.800,,,,,,,,,,,,"are you ready to be the tutor",
