"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1","Experimenter 2","P1","P2","Experimenter",
00:00:01.700,00:00:02.900,00:00:01.200,,,,,,,,,"pause filler calibrate pause filler these with our server",,,,,
00:00:03.200,00:00:07.500,00:00:04.300,,,,,,,,,"so you go ahead and pause filler talk to each other introduce yourself",,,,,
00:00:07.500,00:00:08.200,00:00:00.700,,,,,,,,,"get to know each other",,,,,
00:00:08.400,00:00:09.800,00:00:01.400,,,,,,,,,"and I'll be back in a few minutes",,,,,
00:00:09.800,00:00:12.400,00:00:02.600,,,,,,,,,"be in other room and calibrate and then there we go",,,,,
00:00:12.400,00:00:19.200,00:00:06.800,,,,,,,,,"just make sure that pause filler you're just both on the screen",,,,,
00:00:19.200,00:00:21.500,00:00:02.300,,,,,,,,,"well I'll be back in about five minutes",,,,,
00:00:21.500,00:00:23.400,00:00:01.900,,,,,,,,,,"you can hear them",,,,
00:00:23.400,00:00:26.500,00:00:03.100,,,,,,,,,,,"what",,,
00:00:26.500,00:00:27.700,00:00:01.200,,,,,,,,,,"you can hear them",,,,
00:00:27.700,00:00:28.100,00:00:00.400,,,,,,,,,,,"yeah",,,
00:00:28.100,00:00:28.800,00:00:00.700,,,,,,,,,,"all right awesome",,,,
00:00:28.800,00:00:31.800,00:00:03.000,,,,,,,,,,"introduce each other and just like be right back",,,,
00:00:31.800,00:00:34.100,00:00:02.300,,,,,,,,,,,"okay so hi I'm Joey",,,
00:00:34.100,00:00:35.400,00:00:01.300,,,,,,,,,,,,"I'm Tyler",,
00:00:35.400,00:00:37.400,00:00:02.000,,,,,,,,,,,"nice to meet you",,,
00:00:37.400,00:00:38.200,00:00:00.800,,,,,,,,,,,,"nice to meet you too",,
00:00:38.200,00:00:39.200,00:00:01.000,,,,,,,,,,,"so pause filler how old are you",,,
00:00:39.300,00:00:41.800,00:00:02.500,,,,,,,,,,,"what grade are you in",,,
00:00:41.800,00:00:43.100,00:00:01.300,,,,,,,,,,,,"ninth and I'm fifteen",,
00:00:43.100,00:00:47.100,00:00:04.000,,,,,,,,,,,"awesome okay so pause filler where do you go to school",,,
00:00:47.300,00:00:47.900,00:00:00.600,,,,,,,,,,,,"Brashear",,
00:00:47.900,00:00:53.600,00:00:05.700,,,,,,,,,,,"oh fine yeah I'm actually also ninth grade",,,
00:00:53.600,00:00:54.700,00:00:01.100,,,,,,,,,,,"I go to Dice",,,
00:00:54.700,00:00:56.800,00:00:02.100,,,,,,,,,,,,"do you know Michael Baldwin",,
00:00:57.500,00:01:08.600,00:00:11.100,,,,,,,,,,,"I don't think so",,,
00:01:08.600,00:01:14.000,00:00:05.400,,,,,,,,,,,"I don't know a ton of people yeah",,,
00:01:14.000,00:01:15.000,00:00:01.000,,,,,,,,,,,"I don't know a ton of people yeah","(inaudible)",,
00:01:15.000,00:01:15.100,00:00:00.100,,,,,,,,,,,"I don't know a ton of people yeah",,,
00:01:15.600,00:01:28.800,00:00:13.200,,,,,,,,,,,"so how did you get into this program",,,
00:01:30.300,00:01:31.200,00:00:00.900,,,,,,,,,,,"wow (inaudible) yup",,,
00:01:31.200,00:01:32.100,00:00:00.900,,,,,,,,,,,,"I'm tired",,
00:01:32.100,00:01:37.700,00:00:05.600,,,,,,,,,,,"oh oh not much we can do I mean",,,
00:01:38.100,00:01:41.300,00:00:03.200,,,,,,,,,,,"yeah sleep is something good to get",,,
00:01:41.600,00:01:43.000,00:00:01.400,,,,,,,,,,,"I don't know",,,
00:01:43.400,00:01:47.000,00:00:03.600,,,,,,,,,,,"I'm usually tired almost every day",,,
