,Dyad,Session,Period,P1,P2,Time_begin,Time_end,Duration,SV_Tutor,SV_Tutee,PR_Tutor,PR_Tutee,SD_Tutor,SD_Tutee
9306,3,1,S1 ,,,00:01.0,05:13.0,05:12.0,,,,,,
9307,3,1,S1 ,,yeah I can hear you now (laughter),00:03.0,00:06.0,00:03.0,,,,,,
9308,3,1,S1 ,pause filler that's good pause filler,,00:07.0,00:09.0,00:02.0,,,,,,
9309,3,1,S1 ,oh loading,,00:09.0,00:09.0,00:00.0,,,,,,
9310,3,1,S1 ,did I hit something,,00:10.0,00:11.0,00:01.0,,,,,,
9311,3,1,S1 ,wait you can see the screen as well right,,00:12.0,00:14.0,00:02.0,,,,,,
9312,3,1,S1 ,,yeah,00:15.0,00:15.0,00:00.0,,,,,,
9313,3,1,S1 ,,I can see you yeah,00:15.0,00:16.0,00:01.0,,,,,,
9314,3,1,S1 ,let's see pause filler,,00:16.0,00:18.0,00:02.0,,,,,,
9315,3,1,S1 ,wait okay we go no no okay that's weird,,00:18.0,00:23.0,00:05.0,,,,,,
9316,3,1,S1 ,huh pause filler wait you see the screen with all the green on it right,,00:23.0,00:35.0,00:12.0,,,,,,
9317,3,1,S1 ,,yeah yeah yeah yeah,00:35.0,00:36.0,00:01.0,,,,,,
9318,3,1,S1 ,yeah I see it eraser maybe,,00:36.0,00:38.0,00:02.0,,,,,,
9319,3,1,S1 ,it's weird,,00:39.0,00:39.0,00:00.0,,,,,,
9320,3,1,S1 ,why is it,,00:39.0,00:41.0,00:02.0,,,,,,
9321,3,1,S1 ,okay because we hit super because huh,,00:41.0,00:44.0,00:03.0,,,,,,
9322,3,1,S1 ,this is weird I think,,00:44.0,00:48.0,00:04.0,,,,,SD,
9323,3,1,S1 ,yeah pause filler nope,,00:48.0,00:49.0,00:01.0,,,,,,
9324,3,1,S1 ,,maybe if you just hit undo button or something,00:49.0,00:54.0,00:05.0,,,,,,
9325,3,1,S1 ,yeah (inaudible) because the undo button is not working over here,,00:54.0,00:57.0,00:03.0,,,,,,
9326,3,1,S1 ,there we go,,00:59.0,00:59.0,00:00.0,,,,,,
9327,3,1,S1 ,pause filler that all it's going to do,,00:59.0,01:02.0,00:03.0,,,,,,
9328,3,1,S1 ,pause filler oh I think I know what happened probably because yeah okay,,01:02.0,01:10.0,00:08.0,,,,,,
9329,3,1,S1 ,pause filler oh well I think yeah I think I know what the problem is,,01:10.0,01:15.0,00:05.0,,,,,,
9330,3,1,S1 ,I'm just going to try that but okay,,01:15.0,01:21.0,00:06.0,,,,,,
9331,3,1,S1 ,yeah okay huh okay it depends oh there okay that would make it okay oh so probably negative three,,01:21.0,01:30.0,00:09.0,,,,,,
9332,3,1,S1 ,oh that was a great three plus x equals twenty-two,,01:30.0,01:35.0,00:05.0,,,,,,
9333,3,1,S1 ,,wait I can't oh,01:35.0,01:36.0,00:01.0,,,,,,
9334,3,1,S1 ,can you see that,,01:36.0,01:38.0,00:02.0,,,,,,
9335,3,1,S1 ,,wait should I go on that page,01:38.0,01:41.0,00:03.0,,,,,,
9336,3,1,S1 ,pause filler I don't know pause filler wait,,01:41.0,01:43.0,00:02.0,,,,,,
9337,3,1,S1 ,pause filler I don't know no,,01:46.0,01:48.0,00:02.0,,,,,,
9338,3,1,S1 ,,all right is that the page you're on,01:48.0,01:52.0,00:04.0,,,,,,
9339,3,1,S1 ,I can't see it,,01:52.0,01:53.0,00:01.0,,,,,,
9340,3,1,S1 ,can you scribble on it,,01:53.0,01:55.0,00:02.0,,,,,,
9341,3,1,S1 ,I don't know,,01:55.0,01:59.0,00:04.0,,,,,,
9342,3,1,S1 ,,no,01:59.0,02:00.0,00:01.0,,,,,,
9343,3,1,S1 ,nope pause filler what do you see on it,,02:00.0,02:04.0,00:04.0,,,,,,
9344,3,1,S1 ,,pause filler I'll go to a page keep going on pages I can all I see is pause filler different pages with like scribbles and stuff,02:04.0,02:13.0,00:09.0,,,,,,
9345,3,1,S1 ,pause filler do you see green or,,02:13.0,02:14.0,00:01.0,,,,,,
9346,3,1,S1 ,,I see green on most of the pages,02:14.0,02:17.0,00:03.0,,,,,,
