,Dyad,Session,Time_begin,P1,P2,SD,QE,SV,PR,HD,a,sca,b,scb,c,scc,d,scd,e,sce
16048,7,1,00:47:46.000000,,(laughter),,,x,,,and then since we add another k to the k it would be plus two k,0,do you get that,0.0,,0.0,,0.0,what did you do,0.0
17615,8,2,00:20:06.800000,,awesome,,,,x,,divided by thirteen,26,it's six,13.0,,0.0,,0.0,,0.0
14573,6,2,00:02:54.600000,go away,,,,x,,,hold on,29,,,,,,,,
11084,4,1,00:27:06.000000,(sfx),,,,,,x,yes,33,,0.0,,0.0,,0.0,,0.0
17626,8,2,00:22:23.500000,,so you would add put that to both sides,,,,,x,this it's very confusing,36,,0.0,,0.0,,0.0,,0.0
17682,8,2,00:28:24.000000,I was surprised I was for sure (inaudible),,x,,,,,but they stopped working,38,yeah they were using this computers over here,35.0,so they have to get the actual mac over here,35.0,uh-huh whoops,34.0,,0.0
10613,3,2,00:31:37.200000,,so would you want to go to college here,,x,,,,these are probably my new favorite type of Skittles,40,melon berry,32.0,,0.0,,0.0,,0.0
40,10,1,00:02:59.000000,Jayel,,x,,,,,yeah,44,yeah,44.0,Darby,40.0,yeah I think I did it like one year,36.0,what's your name,36.0
15851,7,1,00:31:42.800000,,she's probably coming to you yup,,,,,x,like how yeah it's really this sour yeah,45,the wild cherry one isn't that like strong,38.0,have you ever had the sour Skittles,37.0,,0.0,,0.0
17735,8,2,00:34:00.600000,better than me at math,,,,,x,,yeah,45,(laughter) minus twenty-two,42.0,that's fine,40.0,oh wait no,36.0,oh it's pretty nice out,36.0
17413,8,1,00:48:09.200000,so I don't think I remember of course,,,,,,x,that's nice,47,oh there are nothing on this page,45.0,so one forty-five minus sixty equals,44.0,I haven't been there in a while Salton,41.0,you add that to make it forty-five equals one hundred and ninety,40.0
15849,7,1,00:31:40.200000,,oh I think they're coming,,,,,x,the wild cherry one isn't that like strong,48,have you ever had the sour Skittles,40.0,like how yeah it's really this sour yeah,40.0,,0.0,,0.0
17541,8,2,00:13:10.100000,,awesome,,,,x,,they just like to come before,49,wow,40.0,pause filler is that multiply,39.0,pause filler six time thirty-one,39.0,okay x equals,37.0
17436,8,2,00:02:48.400000,I'm about to trade in my phone for iPhone 6,,x,,,,,that's true,50,oh nice yeah,43.0,yup,40.0,,0.0,,0.0
9534,3,1,00:12:04.700000,pause filler yes,,,,x,,,and maybe it's five,60,it's a two yeah a two,60.0,umm yes so what I'm doing at the moment I'm taking a full year of algebra one but at the same time I'm also taking geometry,60.0,yeah so,60.0,yeah so,60.0
17498,8,2,00:09:21.600000,,awesome,,,,x,,yes,60,so it would be two times eighteen,51.0,perfect pause filler I get it now,39.0,,0.0,,0.0
11210,4,1,00:39:00.300000,yay,,,,x,,,okay so,60,yeah it's really it's really weird my math teacher is a nut job,40.0,I add the opposite,30.0,it's really weird,30.0,what (laughs),30.0
10553,3,2,00:26:44.100000,it doesn't look right,,,,,,x,yeah it looks right,70,is that what you ended up doing,44.0,so which one would you rather do,43.0,well you pause filler wait one second sorry,43.0,the ten x will probably have less steps in here because you already put a hundred on one side,39.0
14914,6,2,00:36:13.800000,,she has to give like ten,,,x,,,she has to give me my pen,82,that is great,43.0,oh they're coming back,37.0,woo,30.0,,0.0
17339,8,1,00:37:58.700000,,better let me at man,,,x,x,,you're better thean me at man,85,would they let us leave early,45.0,the white guy is coming over,38.0,a very slow one,38.0,I wonder if we could (inaudible),36.0
14857,6,2,00:32:42.000000,but regarding this month we're going to on like eight different field trips,,x,,,,,we have to see an opera at school this week right,86,like it was terrible,86.0,for some reason this month we're going on like eight different field trips,86.0,no we had one in sixth (inaudible) okay like this is our first year we've had like a ton of field trips since like secondary,86.0,but I don't really know,86.0
14860,6,2,00:32:54.300000,we didn't really have any (inaudible) is this like,,x,,,,,they bussed like forty k no no sixty no no actually seventy children to an opera,86,like it was terrible,86.0,we did not really have any in seventh grade or sixth (inaudible) is this like,86.0,no we had one in sixth (inaudible) okay like this is our first year we've had like a ton of field trips since like secondary,86.0,but I don't really know,86.0
14874,6,2,00:33:47.500000,I love piano,,x,,,,,but I don't really know,86,so I'm going to sleep if I don't get real food you have them,86.0,I did play the guitar for a few hours today so (inaudible),86.0,I used to play piano,86.0,but I was really bad at it,86.0
17602,8,2,00:18:53.100000,,so how you would so that is subtract twenty-five from both sides,,,,,x,this is thirty-six,86,,0.0,,0.0,,0.0,,0.0
17485,8,2,00:08:20.300000,so what it would be ninety-three,,,,,,x,so just like whatever the fraction is at the end,86,oh I think so because you have so when we divide it by three,86.0,pause filler you actually are multiplying it by seven over three,86.0,so you have,86.0,pause filler it doesn't I don't think it goes into three equally,86.0
14926,6,2,00:36:49.900000,just cross it out,,,,,,x,let's times it by x that's right,86,  x and circle and well I don't know why I'm doing it,86.0, okay let's start over cross it out ,86.0,sixty-two ,50.0,I was supposed to write on black right,42.0
17477,8,2,00:07:43.200000,,oh I think so because you have so when we divide it by three,,,,,x,pause filler I think so,86,wouldn't it be like four or something,86.0,so what it would be ninety-three,86.0,,0.0,,0.0
11208,4,1,00:38:54.800000,what the,,,,x,,,I add the opposite,86,what (laughs),86.0,yeah it's really it's really weird my math teacher is a nut job,56.0,I think I got this,45.0,instead of subtracting my teacher yells at us to do it so,45.0
17476,8,2,00:07:40.200000,wouldn't it be like four or something,,,,,,x,oh I think so because you have so when we divide it by three,86,pause filler you actually are multiplying it by seven over three,86.0,it would be over three,86.0,pause filler it doesn't I don't think it goes into three equally,86.0,I don't think you got a whole number,49.0
17624,8,2,00:22:01.100000,,okay so you can't do that because one hundred doesn't have I'm sorry one hundred doesn't have an x connected to it,,,,,x,what in the world so three seventeen on both sides,86,,0.0,,0.0,,0.0,,0.0
14829,6,2,00:30:59.700000,actually who know if you know what I'm doing,,,,,,x,I'm not even hungry I'm tired,86,I had a milkshake,86.0,it just makes you fat,86.0,ah I hate this ,86.0,were you in the atrium,86.0
15216,6,2,00:52:44.000000,,I mean I have good friends there,x,,x,,,I'm not sure,86,I was considering,86.0,I know I think it's like whenever you're a senior you don't have to wear uniform,86.0,but I don't think any,86.0,yeah,45.0
17451,8,2,00:04:58.900000,,I wonder if we're getting Skittles again,x,,,,,I think it's popcorn,86,I don't know,86.0,I do not know that this thing will force us,43.0,here they come,39.0,,0.0
14204,6,1,00:32:40.000000,I don't know why kind of whitelist,,x,,,,,but for the packet that they gave us at the beginning I felt like I was doing my math homework,86,oh so like and I have a really nice teacher and all,86.0,I don't know like kind of pointless,75.0,but it's kind of like tedious,54.0,so I'm going to Winchester,50.0
